time,Re,inlet-p,outlet-p,time
0,0,4293339,4320918,0
0.1,0,4293339,4113385.7,0.1
0.2,1.156776169492,4292689.6758424,3905853.4,0.2
0.3,2.4146812353802,4289712.812203,3698321.1,0.3
0.4,3.5772160614578,4282271.960879,3490788.8,0.4
0.5,4.6328641231275,4268582.4415919,3283256.5,0.5
0.6,5.5752923204256,4247608.8808501,3075724.2,0.6
0.7,6.4032645257583,4219047.5187806,2868191.9,0.7
0.8,7.1193036154015,4183130.4336813,2660659.6,0.8
0.9,7.7282388953347,4140418.7919207,2453127.3,0.9
1,8.2360778885399,4091646.1137431,2245595,1
1.1,8.6492559874379,4037616.2609376,2110457.7,1.1
1.2,8.7414500360588,3979183.2880317,1975320.4,1.2
1.3,8.7907459761009,3917263.1202802,1840183.1,1.3
1.4,8.8031496203427,3852781.7255757,1705045.8,1.4
1.5,8.7843008723801,3786585.652083,1569908.5,1.5
1.6,8.7388243385574,3719384.9258847,1434771.2,1.6
1.7,8.6703037425765,3651745.1407896,1299633.9,1.7
1.8,8.5814741173459,3584108.9839323,1164496.6,1.8
1.9,8.4744716746157,3516826.4410336,1029359.3,1.9
2,8.3510785186217,3450182.9419155,894222,2
2.1,8.2129605129813,3384422.490156,843890.3,2.1
2.2,7.9458020815494,3319744.9815304,793558.6,2.2
2.3,7.6893256097438,3256304.1653255,743226.9,2.3
2.4,7.4426686859315,3194227.0872278,692895.2,2.4
2.5,7.2057952297824,3133629.0574379,642563.5,2.5
2.6,6.9787550340341,3074612.5883465,592231.8,2.6
2.7,6.7615567726623,3017260.7480115,541900.1,2.7
2.8,6.5541421402758,2961633.9464521,491568.4,2.8
2.9,6.3564046351408,2907771.6969631,441236.7,2.9
3,6.1682302253838,2855697.5044464,390905,3
3.1,5.9895476856591,2805424.9359095,375736.5,3.1
3.2,5.791405175977,2756955.6407192,360568,3.2
3.3,5.6045185912457,2710267.3964129,345399.5,3.3
3.4,5.4279427574946,2665310.1398936,330231,3.4
