time,Re,inlet-p,outlet-p
0,0,7002980,7002980
0.1,0,7002980,6658242
0.2,6.4152140209736,6969408.0368668,6313504
0.3,9.1893090585605,6915761.4954902,5968766
0.4,11.174969739006,6846106.6651373,5624028
0.5,12.707632492324,6763256.7070173,5279290
0.6,13.929393300316,6669417.7029518,4934552
0.7,14.917885148352,6566393.6357169,4589814
0.8,15.721191728021,6455698.3074086,4245076
0.9,16.371394588015,6338629.5375189,3900338
1,16.890923920044,6216321.8109902,3555600
1.1,17.295890428637,6089786.2525019,3337725.6
1.2,17.401229104425,5959798.7280882,3119851.2
1.3,17.433152951517,5827078.884246,2901976.8
1.4,17.403841250114,5692498.4308163,2684102.4
1.5,17.324650995432,5556976.5836092,2466228
1.6,17.204815176136,5421338.5200056,2248353.6
1.7,17.050808523087,5286267.4426366,2030479.2
1.8,16.86653287364,5152321.7657735,1812604.8
1.9,16.653707425065,5019975.1719407,1594730.4
2,16.412090207608,4889659.8983659,1376856
2.1,16.139330867977,4761809.886222,1301013.6
2.2,15.763021297656,4636764.3558238,1225171.2
2.3,15.390791952045,4514568.3293599,1149328.8
2.4,15.019819693504,4395173.9389523,1073486.4
2.5,14.6487144466,4278621.8194793,997644
2.6,14.277290874707,4165045.5389177,921801.6
2.7,13.905850860744,4054621.4083579,845959.2
2.8,13.534531799699,3947535.0750151,770116.8
2.9,13.162928347151,3843972.4767357,694274.4
3,12.789872834609,3744126.3023391,618432
3.1,12.413243471054,3648211.1128438,587405.6
3.2,12.03276411923,3556402.883754,556379.2
3.3,11.670091516909,3468678.5281573,525352.8
3.4,11.323719867956,3384865.6301955,494326.4
3.5,10.991395503505,3304763.0880281,463300
3.6,10.670737078109,3228204.2144153,432273.6
3.7,10.359547473127,3155071.9943041,401247.2
3.8,10.055835777327,3085297.4390048,370220.8
3.9,9.7577516022891,3018855.1751598,339194.4
4,9.4635063948893,2955760.2682801,308168
4.1,9.171299460305,2896066.9984369,297825.8
4.2,8.8956247061077,2839755.573327,287483.6
4.3,8.6437077027764,2786605.4297603,277141.4
4.4,8.4131086991321,2736276.8923207,266799.2
4.5,8.2003764107537,2688430.2482507,256457
4.6,8.0020802303175,2642781.1470633,246114.8
4.7,7.8152834365544,2599110.3308603,235772.6
4.8,7.6376336493463,2557255.9958006,225430.4
4.9,7.467305286889,2517102.3533761,215088.2
5,7.3029022827939,2478569.0491256,204746
5.1,7.1433620793468,2441602.6013296,198540.8
5.2,6.9933133320207,2406130.7947664,192335.6
5.3,6.8529066198401,2372033.357589,186130.4
5.4,6.7204496080638,2339187.5172135,179925.2
5.5,6.5943230519795,2307491.1570232,173720
5.6,6.4732128037871,2276868.4851049,167514.8
5.7,6.3561300982971,2247266.4578269,161309.6
5.8,6.2423546345254,2218649.4235305,155104.4
5.9,6.1313681047456,2190994.4406738,148899.2
6,6.022798195458,2164287.7163864,142694
6.1,5.9163760410075,2138522.0381811,139936.1
6.2,5.8179437177181,2113643.7267775,137178.2
6.3,5.7274146809357,2089550.8419264,134420.3
6.4,5.6430288595599,2066138.8063931,131662.4
6.5,5.5632120319503,2043324.9302075,128904.5
6.6,5.4867795899733,2021050.6775483,126146.6
6.7,5.4129043239804,1999276.5310239,123388.7
6.8,5.3410271076309,1977976.3921814,120630.8
6.9,5.2707754488477,1957133.2389311,117872.9
7,5.2019026497521,1936736.0836314,115115
7.1,5.1342454838406,1916777.925007,114425.5
7.2,5.0717258705457,1897218.6855984,113736
7.3,5.0139824583445,1877990.6329319,113046.5
7.4,4.9597194484965,1859029.0537995,112357
7.5,4.9078739294237,1840285.340366,111667.5
7.6,4.857695032168,1821726.4405158,110978
7.7,4.808684605657,1803330.7585048,110288.5
7.8,4.7605207320379,1785084.3991642,109599
7.9,4.7129976830546,1766978.4666622,108909.5
8,4.665984582276,1749007.2662098,108220
8.1,4.6193982994309,1731167.1414214,108220
8.2,4.5744709653003,1713444.5079204,108220
8.3,4.531046286965,1695817.6210105,108220
8.4,4.4886870903675,1678266.0437124,108220
8.5,4.4470447786684,1660774.6017157,108220
8.6,4.4058757370007,1643333.1432863,108220
8.7,4.3650188587524,1625935.2217915,108220
8.8,4.3243699346793,1608576.8975277,108220
8.9,4.2838621295163,1591255.8751017,108220
9,4.2434526943135,1573970.9271056,108220
9.1,4.2031142909472,1556721.5196746,107530.5
9.2,4.1616935592824,1539517.061934,106841
9.3,4.1192613229891,1522375.7129395,106151.5
9.4,4.0761743464066,1505315.8578347,105462
9.5,4.0327278680329,1488351.9369533,104772.5
9.6,3.9891353519929,1471494.1609587,104083
