time,Re,inlet-p,outlet-p,time
0,0,5720554.4,5720554.4,0
0.1,0,5720554.4,5435111.336,0.1
0.2,28.137405722035,5710693.8728994,5149668.272,0.2
0.3,52.766434087565,5681480.5009531,4864225.208,0.3
0.4,73.524654538538,5629101.7544071,4578782.144,0.4
0.5,90.548026688044,5554238.2382587,4293339.08,0.5
0.6,104.21037002263,5459702.7034604,4007896.016,0.6
0.7,114.94889655016,5348914.3029356,3722452.952,0.7
0.8,123.18046055416,5225194.0948035,3437009.888,0.8
0.9,129.27026082239,5091514.2336679,3151566.824,0.9
1,133.52503605387,4950448.9239151,2866123.76,1
1.1,136.19624790514,4804202.4300279,2691686.332,1.1
1.2,132.21142865908,4655753.2137386,2517248.904,1.2
1.3,128.12649937475,4507922.5973409,2342811.476,1.3
1.4,124.0891670262,4362643.2495847,2168374.048,1.4
1.5,120.1609603812,4220976.4765788,1993936.62,1.5
1.6,116.35003886375,4083406.3962888,1819499.192,1.6
1.7,112.63800196642,3950104.0250748,1645061.764,1.7
1.8,108.99566910737,3821094.3007694,1470624.336,1.8
1.9,105.39111417812,3696346.9853922,1296186.908,1.9
2,101.79345334569,3575822.4173752,1121749.48,2
2.1,98.174680213015,3459493.8783288,1056938.736,2.1
2.2,92.476391157172,3347497.9901967,992127.992,2.2
2.3,87.20918692069,3240080.0738511,927317.248,2.3
2.4,82.352986284831,3137439.4837148,862506.504,2.4
2.5,77.883835266118,3039642.5555341,797695.76,2.5
2.6,73.771902875032,2946620.7471094,732885.016,2.6
2.7,69.984258157156,2858208.5219772,668074.272,2.7
2.8,66.48766014325,2774185.708162,603263.528,2.8
2.9,63.250491283429,2694310.474487,538452.784,2.9
3,60.243906333832,2618341.2845823,473642.04,3
3.1,57.442511961708,2546050.4359049,454336.712,3.1
3.2,54.43222056729,2477225.8372094,435031.384,3.2
3.3,51.650258834088,2411672.1797981,415726.056,3.3
3.4,49.074712808621,2349209.788706,396420.728,3.4
3.5,46.687459532163,2289670.6463727,377115.4,3.5
3.6,44.472226064539,2232894.586145,357810.072,3.6
3.7,42.414189159012,2178727.4477048,338504.744,3.7
3.8,40.499816388167,2127020.9938484,319199.416,3.8
3.9,38.716783299902,2077633.691877,299894.088,3.9
4,37.053912003184,2030431.6437347,280588.76,4
4.1,35.501111999486,1985289.3142486,270936.096,4.1
4.2,33.993316535917,1942088.2895302,261283.432,4.2
4.3,32.582532851948,1900715.8902949,251630.768,4.3
4.4,31.260626125194,1861065.3011822,241978.104,4.4
4.5,30.020454130854,1823036.1489731,232325.44,4.5
4.6,28.855564845052,1786534.9416342,222672.776,4.6
4.7,27.760124198495,1751475.0961616,213020.112,4.7
4.8,26.72885769081,1717776.6607756,203367.448,4.8
4.9,25.756995530281,1685365.8900609,193714.784,4.9
5,24.840222499957,1654174.7816092,184062.12,5
5.1,23.974633487397,1624140.6296781,179235.788,5.1
5.2,23.135513464909,1595204.9753732,174409.456,5.2
5.3,22.341518640067,1567312.366041,169583.124,5.3
5.4,21.589489368691,1540409.6805244,164756.792,5.4
5.5,20.876575654792,1514446.1176932,159930.46,5.5
5.6,20.200139080061,1489373.4942398,155104.128,5.6
5.7,19.557746837027,1465146.5261437,150277.796,5.7
5.8,18.947164418744,1441722.9571488,145451.464,5.8
5.9,18.366343847015,1419063.5318785,140625.132,5.9
6,17.813409401894,1397131.8616816,135798.8,6
6.1,17.286642693024,1375894.2338443,133730.372,6.1
6.2,16.77440398335,1355319.3632345,131661.944,6.2
6.3,16.285366013161,1335377.2119706,129593.516,6.3
6.4,15.818156558556,1316039.0942513,127525.088,6.4
6.5,15.371509559337,1297277.3116301,125456.66,6.5
6.6,14.944225879025,1279065.229889,123388.232,6.6
6.7,14.535178052782,1261377.4475885,121319.804,6.7
6.8,14.143313065111,1244189.9422161,119251.376,6.8
6.9,13.767651857041,1227480.1464779,117182.948,6.9
7,13.407286435167,1211226.952969,115114.52,7
7.1,13.061375543528,1195410.6649028,114425.044,7.1
7.2,12.724748018719,1180012.8563761,113735.568,7.2
7.3,12.401075104726,1165016.1486956,113046.092,7.3
7.4,12.089687538836,1150403.9929352,112356.616,7.4
7.5,11.789964832755,1136160.539096,111667.14,7.5
7.6,11.501316088718,1122270.6020098,110977.664,7.6
7.7,11.223181518758,1108719.6858004,110288.188,7.7
7.8,10.955033580416,1095494.023064,109598.712,7.8
7.9,10.696377018168,1082580.6011704,108909.236,7.9
8,10.446748011846,1069967.1657059,108219.76,8
8.1,10.205712706676,1057642.2021075,108219.76,8.1
8.2,9.9708995682693,1045594.888107,108219.76,8.2
8.3,9.7439056658752,1033815.0164127,108219.76,8.3
8.4,9.5243740205106,1022292.9094106,108219.76,8.4
8.5,9.3119748323724,1011019.3523582,108219.76,8.5
8.6,9.1063944775047,999985.55566324,108219.76,8.6
8.7,8.9073351212236,989183.14026539,108219.76,8.7
8.8,8.714514631233,978604.13394788,108219.76,8.8
8.9,8.5276662745754,968240.96851315,108219.76,8.9
9,8.3465381953196,958086.47250361,108219.76,9
9.1,8.1708927247004,948133.85807911,108219.76,9.1
9.2,8.0005055847629,938376.70287244,108219.76,9.2
9.3,7.8351650412005,928808.92846851,108219.76,9.3
9.4,7.6746710491921,919424.77718268,108219.76,9.4
9.5,7.5188344229536,910218.78850082,108219.76,9.5
9.6,7.3674760482578,901185.77614967,108219.76,9.6
9.7,7.2204261483504,892320.80641098,108219.76,9.7
9.8,7.0775236074515,883619.1780164,108219.76,9.8
9.9,6.9386153519432,875076.40376295,108219.76,9.9
10,6.8035557868521,866688.1938588,108219.76,10
10.1,6.672206283866,858450.4409285,107530.284,10.1
10.2,6.5461343300469,850359.2089675,106840.808,10.2
10.3,6.4234832348093,842410.72902982,106151.332,10.3
10.4,6.3041455138155,834601.3997333,105461.856,10.4
10.5,6.1880073636331,826927.7865962,104772.38,10.5
10.6,6.0749597102116,819386.61545944,104082.904,10.6
10.7,5.9648987365855,811974.75944056,103393.428,10.7
10.8,5.857725501408,804689.22196899,102703.952,10.8
10.9,5.7533454688614,797527.11914583,102014.476,10.9
11,5.651668082898,790485.66381496,101325,11
11.1,5.5526064120193,783562.15250639,101325,11.1
11.2,5.454509284119,776753.95423504,101325,11.2
11.3,5.3588936721584,770058.49883504,101325,11.3
11.4,5.2656687778108,763473.26453368,101325,11.4
11.5,5.1747584207701,756995.76741694,101325,11.5
11.6,5.0860898339289,750623.55577281,101325,11.6
11.7,4.99959253205,744354.21019716,101325,11.7
11.8,4.9151981716227,738185.3481375,101325,11.8
11.9,4.8328405760355,732114.63062393,101325,11.9
12,4.752455780596,726139.76918259,101325,12
12.1,4.673982059671,720258.53166856,101325,12.1
12.2,4.597359926612,714468.74647276,101325,12.2
12.3,4.5225321074816,708768.30504824,101325,12.3
12.4,4.4494434934358,703155.16296001,101325,12.4
12.5,4.3780474812372,697627.83755761,101325,12.5
12.6,4.308286396276,692183.89858701,101325,12.6
12.7,4.2401112214095,686821.49047738,101325,12.7
12.8,4.173474805612,681538.81703387,101325,12.8
12.9,4.1083317811895,676334.1392202,101325,12.9
13,4.0446384825824,671205.77283377,101325,13
13.1,3.9823528676382,666152.0861574,101325,13.1
13.2,3.9214344420087,661171.49764511,101325,13.2
13.3,3.8618441870399,656262.47367915,101325,13.3
13.4,3.803544491314,651423.52642114,101325,13.4
13.5,3.7464990858612,646653.21176961,101325,13.5
13.6,3.6906729829671,641950.12742946,101325,13.6
13.7,3.6360324184386,637312.91109362,101325,13.7
13.8,3.582544797162,632740.2387344,101325,13.8
13.9,3.5301786417656,628230.82299985,101325,13.9
14,3.4789035441972,623783.41170926,101325,14
14.1,3.4286901200232,619396.78644166,101325,14.1
14.2,3.3795099652693,615069.76121072,101325,14.2
14.3,3.3313356156242,610801.18121963,101325,14.3
14.4,3.2841405078465,606589.92168987,101325,14.4
14.5,3.2378989432181,602434.88675812,101325,14.5
14.6,3.192586052906,598335.00843575,101325,14.6
14.7,3.1481777651004,594289.24562602,101325,14.7
14.8,3.1046507738098,590296.58319438,101325,14.8
14.9,3.0619825092027,586356.03108763,101325,14.9
15,3.0201511093958,582466.62349827,101325,15
15.1,2.9791353935941,578627.41807039,101325,15.1
15.2,2.9389148364997,574837.49514419,101325,15.2
15.3,2.8994695439104,571095.95703604,101325,15.3
15.4,2.860780229435,567401.9273518,101325,15.4
15.5,2.8228281922612,563754.55033079,101325,15.5
15.6,2.7855952959133,560152.99021853,101325,15.6
15.7,2.7490639479436,556596.43066617,101325,15.7
15.8,2.7132170805064,553084.07415498,101325,15.8
15.9,2.6780381317644,549615.14144426,101325,15.9
16,2.6435110280844,546188.87104129,101325,16
16.1,2.6096201669796,542804.51869188,101325,16.1
16.2,2.5763504007599,539461.35689051,101325,16.2
16.3,2.5436870208538,536158.67440878,101325,16.3
16.4,2.5116157427692,532895.77584126,101325,16.4
16.5,2.4801226916595,529671.98116782,101325,16.5
16.6,2.4491943884673,526486.62533148,101325,16.6
16.7,2.4188177366168,523339.05783115,101325,16.7
16.8,2.3889800092297,520228.64232834,101325,16.8
16.9,2.3596688368385,517154.75626741,101325,16.9
17,2.3308721955766,514116.79050842,101325,17
17.1,2.3025783958209,511114.14897232,101325,17.1
17.2,2.274776071268,508146.24829761,101325,17.2
17.3,2.247454168424,505212.51750829,101325,17.3
17.4,2.2206019364901,502312.39769237,101325,17.4
17.5,2.1942089176253,499445.34169053,101325,17.5
17.6,2.1682649375721,496610.81379469,101325,17.6
