time,Re,inlet-p,outlet-p
0,0,7002980,7002980
0.1,0,7002980,6658242
0.2,24.3424936017,6989317.0763237,6313504
0.3,36.451832976467,6964456.6873118,5968766
0.4,45.489605372384,6930162.5050352,5624028
0.5,52.734707884073,6887705.1614372,5279290
0.6,58.730184449106,6838091.2455987,4934552
0.7,63.773022839676,6782160.4186836,4589814
0.8,68.048225848778,6720634.3177414,4245076
0.9,71.680597659254,6654145.4956725,3900338
1,74.758905213977,6583256.529946,3555600
1.1,77.348608828048,6508473.5816383,3337725.6
1.2,78.733981135672,6430272.1422733,3119851.2
1.3,79.791227065051,6349115.6063955,2901976.8
1.4,80.578872735726,6265455.4753026,2684102.4
1.5,81.135847054039,6179720.438321,2466228
1.6,81.491230700189,6092304.9963895,2248353.6
1.7,81.667303185945,6003563.0236514,2030479.2
1.8,81.681058769126,5913806.8065181,1812604.8
1.9,81.545177749099,5823309.9795252,1594730.4
2,81.268667902668,5732312.549143,1376856
2.1,80.857145372969,5641026.7145412,1301013.6
2.2,79.979938323805,5549643.1560208,1225171.2
2.3,79.035003739616,5458336.9921733,1149328.8
2.4,78.037251541672,5367273.9389276,1073486.4
2.5,76.996737232265,5276609.1715227,997644
2.6,75.921341837321,5186489.426276,921801.6
2.7,74.817488617779,5097049.3778812,845959.2
2.8,73.690345805638,5008412.285731,770116.8
2.9,72.543781162847,4920686.6810875,694274.4
3,71.380179320277,4833967.4286909,618432
3.1,70.200020058601,4748336.9215754,587405.6
3.2,68.95792008242,4663866.6009317,556379.2
3.3,67.718776681224,4580617.069096,525352.8
3.4,66.484885076215,4498638.7602098,494326.4
3.5,65.257791040348,4417972.5327977,463300
3.6,64.038284191872,4338650.7907701,432273.6
3.7,62.826367996249,4260699.6201912,401247.2
3.8,61.621103943893,4184138.2375042,370220.8
3.9,60.420410894761,4108982.7724908,339194.4
4,59.220653463383,4035247.2215418,308168
4.1,58.015983306238,3962945.250652,297825.8
4.2,56.824058583481,3892090.1176116,287483.6
4.3,55.654586113005,3822695.037905,277141.4
4.4,54.506133444864,3754768.4967983,266799.2
4.5,53.377985107703,3688312.7034411,256457
4.6,52.269460985702,3623322.8238626,246114.8
4.7,51.179658139841,3559787.6217235,235772.6
4.8,50.107355209578,3497690.9777032,225430.4
4.9,49.050989845157,3437013.7268645,215088.2
5,48.008660989147,3377735.4329427,204746
5.1,46.978130520645,3319835.9176964,198540.8
5.2,45.973547351961,3263296.3874011,192335.6
5.3,44.992462629853,3208097.3250654,186130.4
5.4,44.03271982571,3154218.9597724,179925.2
5.5,43.092742328406,3101639.9111736,173720
5.6,42.171089057717,3050337.0556068,167514.8
5.7,41.266287216285,3000286.0142318,161309.6
5.8,40.376772240352,2951461.987297,155104.4
5.9,39.500873217914,2903840.6695618,148899.2
6,38.636814690627,2857399.0808072,142694
6.1,37.782720970806,2812116.2426299,139936.1
6.2,36.963384724558,2767972.6793263,137178.2
6.3,36.173852471266,2724948.4949257,134420.3
6.4,35.411376162966,2683021.1366275,131662.4
6.5,34.674228586747,2642164.0432796,128904.5
6.6,33.960991277755,2602346.5691084,126146.6
6.7,33.270301044576,2563534.8782838,123388.7
6.8,32.600774234029,2525693.2842227,120630.8
6.9,31.951003566759,2488785.6063976,117872.9
7,31.319580250893,2452776.3078265,115115
7.1,30.705120051784,2417631.3329847,114425.5
7.2,30.126765139897,2383320.8579398,113736
7.3,29.578991867468,2349808.424136,113046.5
7.4,29.058496942246,2317059.0624105,112357
7.5,28.562865443164,2285035.5328413,111667.5
7.6,28.089998035159,2253698.8161091,110978
7.7,27.637922723071,2223009.1994502,110288.5
7.8,27.204748997196,2192927.4891565,109599
7.9,26.788673175343,2163416.0469434,108909.5
8,26.38799695012,2134439.5289798,108220
8.1,26.001144084637,2105965.3253287,108220
8.2,25.632778359782,2077963.4777056,108220
8.3,25.279898997656,2050406.1894614,108220
8.4,24.940332997263,2023267.3354911,108220
8.5,24.612324216723,1996522.242636,108220
8.6,24.294341623507,1970147.7421894,108220
8.7,23.985011893517,1944122.3589711,108220
8.8,23.683095727185,1918426.5048141,108220
8.9,23.38747908197,1893042.6026284,108220
9,23.097168146552,1867955.1206623,108220
9.1,22.811284091482,1843150.5272449,107530.5
9.2,22.524849232624,1818617.3613632,106841
9.3,22.238509023619,1794346.4190451,106151.5
9.4,21.952509455589,1770330.8538082,105462
9.5,21.666936104349,1746566.0520619,104772.5
9.6,21.381847508342,1723049.303261,104083
9.7,21.097315146996,1699779.3696655,103393.5
9.8,20.8134309072,1676756.0570243,102704
9.9,20.530303441999,1653979.8464735,102014.5
