time,inlet-p,outlet-p,time
0,4293339,4293339,0
0.1,4293339,4235423,0.1
0.2,4290580.8828389,4177507,0.2
0.3,4284269.2135669,4119591,0.3
0.4,4274577.2184971,4061675,0.4
0.5,4261885.1908551,4003759,0.5
0.6,4246564.706676,3945843,0.6
0.7,4228936.1194668,3887927,0.7
0.8,4209268.4331132,3830011,0.8
0.9,4187787.5607441,3772095,0.9
1,4164684.7790506,3714179,1
1.1,4140123.708298,3485962.5,1.1
1.2,4113848.060472,3257746,1.2
1.3,4085365.2318869,3029529.5,1.3
1.4,4054267.8644853,2801313,1.4
1.5,4020357.9453011,2573096.5,1.5
1.6,3983624.003451,2344880,1.6
1.7,3944179.0353948,2116663.5,1.7
1.8,3902207.347224,1888447,1.8
1.9,3857929.2051717,1660230.5,1.9
2,3811579.7449884,1432014,2
2.1,3763397.2067816,1347897.9,2.1
2.2,3713622.2078269,1263781.8,2.2
2.3,3662500.7907133,1179665.7,2.3
2.4,3610282.9196283,1095549.6,2.4
2.5,3557215.3627921,1011433.5,2.5
2.6,3503532.6915057,927317.4,2.6
2.7,3449449.9444853,843201.3,2.7
2.8,3395158.4806334,759085.2,2.8
2.9,3340824.9127892,674969.1,2.9
3,3286592.306547,590853,3
3.1,3232582.7665362,561895,3.1
3.2,3178900.4789371,532937,3.2
3.3,3125634.5220504,503979,3.3
3.4,3072861.6655744,475021,3.4
3.5,3020648.3895185,446063,3.5
3.6,2969052.2768068,417105,3.6
3.7,2918122.8985879,388147,3.7
3.8,2867902.4642202,359189,3.8
3.9,2818426.4573429,330231,3.9
4,2769724.3762524,301273,4
4.1,2721820.6168171,291620.3,4.1
4.2,2674735.0292535,281967.6,4.2
4.3,2628482.9327884,272314.9,4.3
4.4,2583074.9288238,262662.2,4.4
4.5,2538516.9308431,253009.5,4.5
4.6,2494810.5558794,243356.8,4.6
4.7,2451953.7841245,233704.1,4.7
4.8,2409941.7212759,224051.4,4.8
4.9,2368767.3338319,214398.7,4.9
5,2328422.0901697,204746,5
5.1,2288896.4893289,198540.8,5.1
5.2,2250180.3593157,192335.6,5.2
5.3,2212262.8895396,186130.4,5.3
5.4,2175132.5392268,179925.2,5.4
5.5,2138776.9971119,173720,5.5
5.6,2103183.272417,167514.8,5.6
5.7,2068337.898895,161309.6,5.7
5.8,2034227.1925771,155104.4,5.8
5.9,2000837.5091239,148899.2,5.9
6,1968155.4693308,142694,6
6.1,1936168.1425047,140625.5,6.1
6.2,1904863.2389378,138557,6.2
6.3,1874227.7909668,136488.5,6.3
6.4,1844248.4265982,134420,6.4
6.5,1814910.6656189,132351.5,6.5
6.6,1786198.8476107,130283,6.6
6.7,1758096.3540448,128214.5,6.7
6.8,1730585.9908737,126146,6.8
6.9,1703650.4031009,124077.5,6.9
7,1677272.4386135,122009,7
7.1,1651435.4251436,120630.1,7.1
7.2,1626123.3209201,119251.2,7.2
7.3,1601320.7383581,117872.3,7.3
7.4,1577012.8978504,116493.4,7.4
7.5,1553185.5783539,115114.5,7.5
7.6,1529825.0989271,113735.6,7.6
7.7,1506918.3307115,112356.7,7.7
7.8,1484452.7226853,110977.8,7.8
7.9,1462416.3245149,109598.9,7.9
8,1440797.7966154,108220,8
8.1,1419586.4044228,108220,8.1
8.2,1398773.8200975,108220,8.2
8.3,1378348.2773095,108220,8.3
8.4,1358300.1635673,108220,8.4
8.5,1338619.9644032,108220,8.5
8.6,1319298.2484464,108220,8.6
8.7,1300325.7290452,108220,8.7
8.8,1281693.36268,108220,8.8
8.9,1263392.4478763,108220,8.9
9,1245414.7024029,108220,9
9.1,1227752.3102982,108220,9.1
9.2,1210397.9394789,108220,9.2
9.3,1193344.7352699,108220,9.3
9.4,1176586.2965515,108220,9.4
9.5,1160116.6408164,108220,9.5
9.6,1143930.1632786,108220,9.6
9.7,1128021.593879,108220,9.7
9.8,1112385.9548575,108220,9.8
9.9,1097018.5206198,108220,9.9
10,1081914.7809103,108220,10
10.1,1067070.4077998,107530.5,10.1
10.2,1052479.9190534,106841,10.2
10.3,1038140.6529469,106151.5,10.3
10.4,1024048.7297501,105462,10.4
10.5,1010200.4005027,104772.5,10.5
10.6,996592.02712544,104083,10.6
10.7,983220.05608748,103393.5,10.7
10.8,970080.99059527,102704,10.8
10.9,957171.36574095,102014.5,10.9
11,944487.7291544,101325,11
11.1,932026.6278647,101325,11.1
11.2,919785.69981437,101325,11.2
11.3,907760.31775148,101325,11.3
11.4,895946.96656081,101325,11.4
11.5,884342.10018152,101325,11.5
11.6,872942.14867262,101325,11.6
11.7,861743.53132759,101325,11.7
11.8,850742.67236503,101325,11.8
11.9,839936.01612006,101325,11.9
12,829320.03985237,101325,12
12.1,818891.26344499,101325,12.1
12.2,808646.25605655,101325,12.2
12.3,798581.64019356,101325,12.3
12.4,788694.09379931,101325,12.4
12.5,778980.35093007,101325,12.5
12.6,769437.20149559,101325,12.6
12.7,760069.93327638,101325,12.7
12.8,750866.70632029,101325,12.8
12.9,741824.48048021,101325,12.9
13,732940.26664963,101325,13
13.1,724211.12563535,101325,13.1
13.2,715634.16706286,101325,13.2
13.3,707206.54837694,101325,13.3
13.4,698925.47394784,101325,13.4
13.5,690788.19427933,101325,13.5
13.6,682792.00530861,101325,13.6
13.7,674934.24778573,101325,13.7
13.8,667212.30671952,101325,13.8
13.9,659623.61087727,101325,13.9
14,652165.63232652,101325,14
14.1,644835.88600841,101325,14.1
14.2,637631.92933358,101325,14.2
14.3,630551.36179294,101325,14.3
14.4,623591.82457683,101325,14.4
14.5,616751.00019738,101325,14.5
14.6,610026.61211004,101325,14.6
14.7,603416.42433079,101325,14.7
14.8,596918.24104691,101325,14.8
14.9,590529.9062192,101325,14.9
15,584249.30317473,101325,15
15.1,578074.35418924,101325,15.1
15.2,572003.02005881,101325,15.2
15.3,566033.29966087,101325,15.3
15.4,560163.22950466,101325,15.4
15.5,554390.88327157,101325,15.5
15.6,548714.37134591,101325,15.6
15.7,543131.84033677,101325,15.7
15.8,537641.47259167,101325,15.8
15.9,532241.48570287,101325,15.9
16,526930.13200712,101325,16
16.1,521705.69807969,101325,16.1
16.2,516566.50422351,101325,16.2
16.3,511510.90395436,101325,16.3
16.4,506537.28348275,101325,16.4
16.5,501644.06119352,101325,16.5
16.6,496829.68712366,101325,16.6
16.7,492092.64243932,101325,16.7
16.8,487431.43891259,101325,16.8
16.9,482844.61839866,101325,16.9
17,478330.75231419,101325,17
17.1,473888.44111717,101325,17.1
17.2,469516.31378913,101325,17.2
17.3,465213.02731994,101325,17.3
17.4,460977.2661959,101325,17.4
17.5,456807.74189133,101325,17.5
17.6,452703.19236426,101325,17.6
17.7,448662.38155648,101325,17.7
17.8,444684.09889827,101325,17.8
17.9,440767.15881819,101325,17.9
18,436910.40025814,101325,18
18.1,433112.68619399,101325,18.1
18.2,429372.90316191,101325,18.2
18.3,425689.96079077,101325,18.3
18.4,422062.79134052,101325,18.4
18.5,418490.34924702,101325,18.5
18.6,414971.61067319,101325,18.6
18.7,411505.57306667,101325,18.7
18.8,408091.25472424,101325,18.8
18.9,404727.69436274,101325,18.9
19,401413.95069699,101325,19
19.1,398149.10202432,101325,19.1
19.2,394932.24581611,101325,19.2
19.3,391762.4983161,101325,19.3
19.4,388638.99414564,101325,19.4
19.5,385560.88591583,101325,19.5
19.6,382527.3438465,101325,19.6
19.7,379537.55539212,101325,19.7
19.8,376590.72487447,101325,19.8
19.9,373686.07312214,101325,19.9
20,370822.83711684,101325,20
20.1,368000.26964636,101325,20.1
20.2,365217.63896422,101325,20.2
20.3,362474.22845594,101325,20.3
20.4,359769.33631178,101325,20.4
20.5,357102.27520609,101325,20.5
20.6,354472.3719829,101325,20.6
20.7,351878.96734799,101325,20.7
20.8,349321.41556708,101325,20.8
20.9,346799.08417032,101325,20.9
21,344311.35366276,101325,21
21.1,341857.61724086,101325,21.1
21.2,339437.28051499,101325,21.2
21.3,337049.76123763,101325,21.3
21.4,334694.48903739,101325,21.4
21.5,332370.90515872,101325,21.5
21.6,330078.46220705,101325,21.6
21.7,327816.62389955,101325,21.7
21.8,325584.86482113,101325,21.8
21.9,323382.67018584,101325,21.9
22,321209.53560334,101325,22
22.1,319064.96685059,101325,22.1
22.2,316948.47964844,101325,22.2
22.3,314859.59944322,101325,22.3
22.4,312797.86119307,101325,22.4
22.5,310762.80915904,101325,22.5
22.6,308753.99670087,101325,22.6
22.7,306770.98607722,101325,22.7
22.8,304813.34825041,101325,22.8
22.9,302880.66269559,101325,22.9
23,300972.51721406,101325,23
23.1,299088.50775091,101325,23.1
23.2,297228.23821668,101325,23.2
23.3,295391.3203131,101325,23.3
23.4,293577.37336275,101325,23.4
23.5,291786.02414256,101325,23.5
23.6,290016.90672111,101325,23.6
23.7,288269.66229966,101325,23.7
23.8,286543.93905666,101325,23.8
23.9,284839.39199599,101325,23.9
24,283155.68279852,101325,24
24.1,281492.47967708,101325,24.1
24.2,279849.45723481,101325,24.2
24.3,278226.29632666,101325,24.3
24.4,276622.68392412,101325,24.4
24.5,275038.312983,101325,24.5
24.6,273472.88231427,101325,24.6
24.7,271926.09645787,101325,24.7
24.8,270397.66555935,101325,24.8
24.9,268887.30524938,101325,24.9
25,267394.73652607,101325,25
25.1,265919.68563986,101325,25.1
25.2,264461.8839812,101325,25.2
25.3,263021.06797069,101325,25.3
25.4,261596.97895176,101325,25.4
25.5,260189.3630859,101325,25.5
25.6,258797.97125017,101325,25.6
25.7,257422.55893711,101325,25.7
25.8,256062.88615698,101325,25.8
25.9,254718.71734215,101325,25.9
26,253389.8212538,101325,26
26.1,252075.9708906,101325,26.1
26.2,250776.94339965,101325,26.2
26.3,249492.5199893,101325,26.3
26.4,248222.48584406,101325,26.4
26.5,246966.63004142,101325,26.5
26.6,245724.74547057,101325,26.6
26.7,244496.62875296,101325,26.7
26.8,243282.08016467,101325,26.8
26.9,242080.90356058,101325,26.9
27,240892.90630022,101325,27
27.1,239717.89917532,101325,27.1
27.2,238555.69633902,101325,27.2
27.3,237406.11523666,101325,27.3
27.4,236268.97653814,101325,27.4
27.5,235144.1040718,101325,27.5
27.6,234031.32475985,101325,27.6
27.7,232930.46855518,101325,27.7
27.8,231841.36837964,101325,27.8
27.9,230763.8600637,101325,27.9
28,229697.78228745,101325,28
28.1,228642.97652294,101325,28.1
28.2,227599.28697783,101325,28.2
28.3,226566.56054024,101325,28.3
28.4,225553.85552612,101325,28.4
28.5,224551.62405347,101325,28.5
28.6,223559.72462843,101325,28.6
28.7,222578.01813582,101325,28.7
28.8,221606.3677957,101325,28.8
28.9,220644.63911842,101325,28.9
29,219692.69986012,101325,29
29.1,218750.41997896,101325,29.1
29.2,217817.67159221,101325,29.2
29.3,216894.3289343,101325,29.3
29.4,215980.26831562,101325,29.4
29.5,215075.36808233,101325,29.5
29.6,214179.50857692,101325,29.6
29.7,213292.57209965,101325,29.7
29.8,212414.4428708,101325,29.8
29.9,211545.00699376,101325,29.9
30,210684.15241884,101325,30
30.1,209831.76890794,101325,30.1
30.2,208987.74799994,101325,30.2
30.3,208151.98297682,101325,30.3
30.4,207324.36883052,101325,30.4
30.5,206504.80223053,101325,30.5
30.6,205693.18149213,101325,30.6
30.7,204889.40654537,101325,30.7
30.8,204093.37890464,101325,30.8
30.9,203305.00163895,101325,30.9
31,202524.17934279,101325,31
31.1,201750.81810766,101325,31.1
31.2,200984.82549416,101325,31.2
31.3,200226.11050467,101325,31.3
31.4,199474.58355665,101325,31.4
31.5,198730.15645644,101325,31.5
31.6,197992.74237365,101325,31.6
31.7,197262.25581609,101325,31.7
31.8,196538.61260519,101325,31.8
31.9,195821.72985197,101325,31.9
32,195111.52593345,101325,32
32.1,194407.92046966,101325,32.1
32.2,193710.83430098,101325,32.2
32.3,193020.18946609,101325,32.3
32.4,192335.90918027,101325,32.4
32.5,191657.91781421,101325,32.5
32.6,190986.14087321,101325,32.6
32.7,190320.50497683,101325,32.7
32.8,189660.937839,101325,32.8
32.9,189007.36824841,101325,32.9
33,188359.72604945,101325,33
33.1,187717.94212344,101325,33.1
33.2,187081.94837026,101325,33.2
33.3,186451.67769036,101325,33.3
33.4,185827.06396714,101325,33.4
33.5,185208.0420497,101325,33.5
33.6,184594.54773585,101325,33.6
33.7,183986.51775559,101325,33.7
33.8,183383.88975483,101325,33.8
33.9,182786.60227944,101325,33.9
34,182194.59475969,101325,34
34.1,181607.80749489,101325,34.1
34.2,181026.18163842,101325,34.2
34.3,180449.65918304,101325,34.3
34.4,179878.18294646,101325,34.4
34.5,179311.69655722,101325,34.5
34.6,178750.14444085,101325,34.6
34.7,178193.47180626,101325,34.7
34.8,177641.62463247,101325,34.8
34.9,177094.54965555,101325,34.9
35,176552.1943558,101325,35
35.1,176014.50694521,101325,35.1
35.2,175481.43635519,101325,35.2
35.3,174952.93222444,101325,35.3
35.4,174428.94488719,101325,35.4
35.5,173909.42536153,101325,35.5
35.6,173394.32533807,101325,35.6
35.7,172883.59716875,101325,35.7
35.8,172377.19385591,101325,35.8
