time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4258315.7212995,4177507
0.3,4208289.4219875,4119591
0.4,4153246.7386928,4061675
0.5,4096594.8157069,4003759
0.6,4039432.5531758,3945843
0.7,3982113.9032737,3887927
0.8,3924753.9961358,3830011
0.9,3867390.9176327,3772095
1,3810037.7007211,3714179
1.1,3752699.1765827,3485962.5
1.2,3601596.00291,3257746
1.3,3407990.1355004,3029529.5
1.4,3199790.3464884,2801313
1.5,2987400.7929633,2573096.5
1.6,2774695.4000661,2344880
1.7,2563332.9184717,2116663.5
1.8,2354267.0115955,1888447
1.9,2148295.7082693,1660230.5
2,1946292.0391914,1432014
2.1,1749335.5033347,1347897.9
2.2,1595084.4869735,1263781.8
2.3,1473774.3587734,1179665.7
2.4,1372226.7187453,1095549.6
2.5,1282207.6232547,1011433.5
2.6,1199182.0035783,927317.4
2.7,1120723.5107486,843201.3
2.8,1045565.8554375,759085.2
2.9,973093.01173814,674969.1
3,903069.04677183,590853
3.1,835494.83118066,561895
3.2,775636.58964903,532937
3.3,724320.04858702,503979
3.4,680073.65527461,475021
3.5,641188.76405909,446063
3.6,606303.60762071,417105
3.7,574433.56070451,388147
3.8,544886.80364586,359189
3.9,517181.87553505,330231
4,490986.18671709,301273
4.1,466073.04612728,291620.3
4.2,442923.4809102,281967.6
4.3,421871.06611728,272314.9
4.4,402882.05255581,262662.2
4.5,385727.37564453,253009.5
4.6,370132.28930791,243356.8
4.7,355842.22683299,233704.1
4.8,342641.46861864,224051.4
4.9,330353.38603946,214398.7
5,318835.19716296,204746
5.1,307971.94494965,198540.8
5.2,297721.49928843,192335.6
5.3,288071.22417034,186130.4
5.4,278995.5423137,179925.2
5.5,270450.46990308,173720
5.6,262383.24899887,167514.8
5.7,254740.92243446,161309.6
5.8,247474.78871705,155104.4
5.9,240541.98004411,148899.2
6,233905.59230662,142694
6.1,227534.21740289,140625.5
6.2,221425.70625114,138557
6.3,215601.04594807,136488.5
6.4,210079.57693538,134420
6.5,204866.17027353,132351.5
6.6,199951.89045275,130283
6.7,195319.23187178,128214.5
6.8,190946.82051359,126146
6.9,186812.41493142,124077.5
7,182894.51798774,122009
7.1,179173.12252268,120630.1
7.2,175632.61486278,119251.2
7.3,172261.43051041,117872.3
7.4,169050.8053796,116493.4
7.5,165992.18702527,115114.5
7.6,163076.41603846,113735.6
7.7,160293.85873533,112356.7
7.8,157634.81414959,110977.8
7.9,155089.86635567,109598.9
8,152650.10539797,108220
8.1,150307.23628526,108220
8.2,148058.48292285,108220
8.3,145902.26550701,108220
8.4,143842.46504418,108220
8.5,141882.79777082,108220
8.6,140024.88014378,108220
8.7,138267.93528973,108220
8.8,136609.29737513,108220
8.9,135045.07438543,108220
9,133570.70151583,108220
9.1,132181.33036937,108220
9.2,130872.07807342,108220
9.3,129638.1761176,108220
9.4,128475.05310347,108220
9.5,127378.37595456,108220
9.6,126344.06587714,108220
9.7,125368.29944915,108220
9.8,124447.50129094,108220
9.9,123578.33226379,108220
10,122765.09081216,108220
10.1,121996.63111281,107530.5
10.2,121262.00126118,106841
10.3,120563.63399534,106151.5
10.4,119894.25490242,105462
10.5,119246.48605407,104772.5
10.6,118613.99338083,104083
10.7,117991.90648872,103393.5
10.8,117376.73440934,102704
10.9,116766.08381307,102014.5
11,116158.36082276,101325
11.1,115552.52567884,101325
11.2,114954.69017701,101325
11.3,114360.99904574,101325
11.4,113775.32161388,101325
11.5,113202.04552488,101325
11.6,112645.02419527,101325
11.7,112107.09260352,101325
11.8,111590.03213919,101325
11.9,111094.74649966,101325
12,110621.48688989,101325
12.1,110170.05313551,101325
12.2,109739.94964986,101325
12.3,109330.49794602,101325
12.4,108940.91443869,101325
12.5,108570.36276061,101325
12.6,108217.98818168,101325
12.7,107882.93977809,101325
12.8,107564.3843489,101325
12.9,107261.5148345,101325
13,106973.55510471,101325
13.1,106699.7623716,101325
13.2,106439.42806536,101325
13.3,106191.8777305,101325
13.4,105956.47031162,101325
13.5,105732.59707233,101325
13.6,105519.68030721,101325
13.7,105317.17195081,101325
13.8,105124.55215085,101325
13.9,104941.32784818,101325
14,104767.03138986,101325
14.1,104601.21919093,101325
14.2,104443.47045354,101325
14.3,104293.38594761,101325
