time,pellet-inlet-p
0,4293339
0.1,4293339
0.2,4293049.822096
0.3,4291871.2841762
0.4,4289118.7837691
0.5,4284223.7905234
0.6,4276809.6976398
0.7,4266680.1445145
0.8,4253774.8186727
0.9,4238124.2130593
1,4219814.2947544
1.1,4198962.0660135
1.2,4174844.1573341
1.3,4145822.5984037
1.4,4110008.5990315
1.5,4065851.5507165
1.6,4012361.3559212
1.7,3949073.1329741
1.8,3875916.3548657
1.9,3793081.1598146
2,3700914.0985973
2.1,3599846.2279494
2.2,3491092.8175187
2.3,3376673.8351384
2.4,3258811.3944559
2.5,3139409.1659387
2.6,3019858.2238158
2.7,2901068.1302405
2.8,2783580.5506844
2.9,2667685.0165421
3,2553509.3226259
3.1,2441082.4047371
3.2,2330662.7982962
3.3,2222780.2300852
3.4,2118024.6033928
3.5,2016859.6779063
3.6,1919557.2736497
3.7,1826214.2749358
3.8,1736798.8277894
3.9,1651195.8371024
4,1569241.843166
4.1,1490748.8224868
4.2,1415620.0079972
4.3,1343864.1853729
4.4,1275521.9111453
4.5,1210600.0733694
4.6,1149048.5243235
4.7,1090765.4741588
4.8,1035613.2411664
4.9,983433.41521331
5,934058.55165069
5.1,887319.9574946
5.2,843070.62251044
5.3,801188.77099829
5.4,761565.17906222
5.5,724091.52519929
5.6,688656.10126965
5.7,655144.55362
5.8,623442.36577979
5.9,593437.2603953
6,565020.929009
6.1,538090.0769465
6.2,512568.65588198
6.3,488409.1346876
6.4,465575.33679666
6.5,444027.58206287
6.6,423717.13691842
6.7,404587.01285034
6.8,386575.03114248
6.9,369616.88629815
7,353648.4514541
7.1,338607.28323123
7.2,324437.10212605
7.3,311088.43748619
7.4,298515.98024625
7.5,286676.1717997
7.6,275526.25208473
7.7,265024.31390695
7.8,255129.70864098
7.9,245803.44023272
8,237008.4297624
8.1,228709.64812443
8.2,220882.04157707
8.3,213508.47931768
8.4,206576.57980313
8.5,200072.90798882
8.6,193981.11075966
8.7,188282.15556206
8.8,182955.32689875
8.9,177979.22920504
9,173332.54322286
9.1,168994.51989517
9.2,164945.27017462
9.3,161165.91527404
9.4,157638.64790943
9.5,154346.7393955
9.6,151274.51517525
9.7,148407.31290283
9.8,145731.43170676
9.9,143234.07780738
10,140903.30953079
10.1,138727.98346137
10.2,136694.02039129
10.3,134784.75123211
