time,pellet-inlet-p
0,4293339
1,4293339
2,4289634.870202
3,4263183.2104366
4,4189118.7111673
5,4059688.2645583
6,3886753.3535248
7,3690079.5581028
8,3486800.7301154
9,3287629.4738317
10,3097312.6709764
11,2916735.0220512
12,2745470.1359381
13,2582813.5824493
14,2427923.8089047
15,2280014.0574622
16,2138508.2353029
17,2003071.2134485
18,1873563.9258633
19,1749976.9566773
20,1632368.043899
21,1520811.9708625
22,1415364.4997443
23,1316039.5087981
24,1222797.429396
25,1135542.5477055
26,1054126.5772807
27,978356.08301972
28,908001.75215965
29,842808.033126
30,782502.72159361
31,726803.16570035
32,675424.64212634
33,628084.94730368
34,584508.38391825
35,544428.67650059
36,507590.99783801
37,473753.27968914
38,442686.9617589
39,414177.30940845
40,388023.40726759
41,364037.91483147
42,342046.65204186
43,321888.06786322
44,303412.63271186
45,286482.18589629
46,270969.26156632
47,256756.41066658
48,243735.53171618
49,231807.21961469
50,220880.13888216
51,210870.42559891
52,201701.12067601
53,193301.63585036
54,185607.25286938
55,178558.65564212
56,172102.07588669
57,166187.04745084
58,160767.98267884
59,155803.13378473
60,151254.27348942
61,147086.40080042
62,143267.47031055
63,139768.14341319
64,136561.55987765
65,133623.1282888
66,130930.33392441
67,128462.56271983
68,126200.94004835
69,124128.1831264
70,122228.46593253
71,120487.29560759
72,118891.39937952
73,117428.62112857
74,116087.82677781
75,114858.81775905
76,113732.25186487
77,112699.57085458
78,111752.9342349
79,110885.15868474
80,110089.6626389
81,109360.41558695
82,108691.89168182
83,108079.57894968
84,107518.19365228
85,107003.49478014
86,106531.5953022
87,106098.9324985
88,105702.24079807
89,105338.52690726
90,105005.04703307
91,104699.2860228
92,104418.9382574
93,104161.89014951
94,103926.2041104
95,103710.10386141
96,103511.96097634
97,103330.28255087
98,103163.6999039
99,103010.95822408
100,102870.90708181
101,102742.49173408
102,102624.74515546
103,102516.78073446
104,102417.78557928
105,102327.01438202
106,102243.78379456
107,102167.46727322
108,102097.49035314
109,102033.90437429
110,101975.55273419
111,101922.00448537
112,101872.86417067
113,101827.76889868
114,101786.38566051
115,101748.40886805
116,101713.55809515
117,101681.576005
118,101652.22644844
119,101625.29271894
120,101600.57595138
121,101577.8936528
122,101557.07835418
123,101537.97637332
124,101520.4466796
125,101504.35985228
126,101489.59712459
127,101476.04950655
128,101463.61698004
129,101452.20776016
130,101441.73761739
131,101432.12925562
132,101423.31174136
133,101415.21997991
134,101407.79423476
135,101400.97968649
136,101395.29454271
137,101390.03479027
138,101385.16859873
139,101380.66651951
140,101376.50130761
141,101372.6477567
142,101369.08254659
143,101365.78410205
144,101362.73246228
145,101359.90916005
146,101357.29710999
147,101354.88050515
148,101352.64472136
149,101350.57622869
150,101348.66250963
