time,pellet-inlet-p
0,4293339
1,4293339
2,4190979.8388517
3,3816194.3556946
4,3263832.8295816
5,2762073.4752442
6,2358076.8124755
7,2041810.3909649
8,1792301.8295648
9,1592744.6232716
10,1430619.8499805
11,1296795.5478673
12,1184944.0224406
13,1091280.8107602
14,1010905.1440559
15,941269.2659398
16,880432.61870204
17,826882.22349451
18,779422.4293269
19,737098.56032426
20,699141.07871196
21,664923.98261494
22,633933.54487949
23,605744.6522745
24,580002.75644036
25,556409.98900859
26,534714.38689015
27,514701.45833211
28,496187.52527496
29,479014.4251114
30,463045.26157323
31,449529.25653211
32,436822.34935014
33,424856.0306144
34,413569.28662634
35,402907.56552212
36,392821.93592516
37,383268.38295403
38,374207.21014851
39,365602.52703011
40,357421.80764999
41,349635.50875314
42,342216.73838076
43,335140.96735456
44,328385.77735784
45,321930.64035311
46,315756.72491541
47,309846.72575224
48,304184.71325534
49,298756.00040665
50,293547.02475957
