time,viscosity_pp
0,0
1,1.8469051721849e-05
2,1.8469051721849e-05
3,1.8469051721849e-05
4,1.8469051721849e-05
5,1.8469051721849e-05
6,1.8469051721849e-05
7,1.8469051721849e-05
8,1.8469051721849e-05
9,1.8469051721849e-05
10,1.8469051721849e-05
11,1.8469051721849e-05
12,1.8469051721849e-05
13,1.8469051721849e-05
14,1.8469051721849e-05
15,1.8469051721849e-05
16,1.8469051721849e-05
17,1.8469051721849e-05
18,1.8469051721849e-05
19,1.8469051721849e-05
20,1.8469051721849e-05
21,1.8469051721849e-05
22,1.8469051721849e-05
23,1.8469051721849e-05
24,1.8469051721849e-05
25,1.8469051721849e-05
26,1.8469051721849e-05
27,1.8469051721849e-05
28,1.8469051721849e-05
29,1.8469051721849e-05
30,1.8469051721849e-05
31,1.8469051721849e-05
32,1.8469051721849e-05
33,1.8469051721849e-05
34,1.8469051721849e-05
35,1.8469051721849e-05
