time,outlet-p,pellet-inlet-p,viscosity_pp
0,0,4293339,0
1,3714179,4293339,3.0196861854867e-05
2,1432014,4293335.2058044,3.0196861854867e-05
3,590853,4292875.1700383,3.0196861854867e-05
4,301273,4289240.1611005,3.0196861854867e-05
5,204746,4276669.5547226,3.0196861854867e-05
6,142694,4249738.0285102,3.0196861854867e-05
7,122009,4206482.2151088,3.0196861854867e-05
8,108220,4148543.388217,3.0196861854867e-05
9,108220,4079478.4887983,3.0196861854867e-05
10,108220,4003069.8363127,3.0196861854867e-05
11,101325,3922369.8694793,3.0196861854867e-05
12,101325,3839456.9179164,3.0196861854867e-05
13,101325,3755669.6744648,3.0196861854867e-05
14,101325,3671857.6061698,3.0196861854867e-05
15,101325,3588516.0961297,3.0196861854867e-05
16,101325,3505895.7983919,3.0196861854867e-05
17,101325,3424099.7038301,3.0196861854867e-05
18,101325,3343153.2849412,3.0196861854867e-05
19,101325,3263047.2684109,3.0196861854867e-05
20,101325,3183760.8798513,3.0196861854867e-05
21,101325,3105273.3748922,3.0196861854867e-05
22,101325,3027569.1912875,3.0196861854867e-05
23,101325,2950639.8448316,3.0196861854867e-05
24,101325,2874484.2573641,3.0196861854867e-05
25,101325,2799108.3848996,3.0196861854867e-05
26,101325,2724524.5734571,3.0196861854867e-05
27,101325,2650750.842188,3.0196861854867e-05
28,101325,2577810.1785738,3.0196861854867e-05
29,101325,2505729.8742763,3.0196861854867e-05
30,101325,2434540.9039373,3.0196861854867e-05
31,101325,2364277.3380493,3.0196861854867e-05
32,101325,2294975.7774604,3.0196861854867e-05
33,101325,2226674.7973779,3.0196861854867e-05
34,101325,2159414.3910336,3.0196861854867e-05
35,101325,2093235.4065175,3.0196861854867e-05
36,101325,2028178.9741367,3.0196861854867e-05
37,101325,1964285.9256727,3.0196861854867e-05
38,101325,1901596.2107658,3.0196861854867e-05
39,101325,1840148.3190833,3.0196861854867e-05
40,101325,1779978.719631,3.0196861854867e-05
41,101325,1721121.3303208,3.0196861854867e-05
42,101325,1663607.0315413,3.0196861854867e-05
43,101325,1607463.2369302,3.0196861854867e-05
44,101325,1552713.53289,3.0196861854867e-05
45,101325,1499377.395781,3.0196861854867e-05
46,101325,1447469.9924673,3.0196861854867e-05
47,101325,1397002.0662862,3.0196861854867e-05
48,101325,1347979.9069227,3.0196861854867e-05
49,101325,1300405.3993885,3.0196861854867e-05
50,101325,1254276.1445767,3.0196861854867e-05
51,101325,1209585.6418346,3.0196861854867e-05
52,101325,1166323.5227353,3.0196861854867e-05
53,101325,1124475.824697,3.0196861854867e-05
54,101325,1084025.2932305,3.0196861854867e-05
55,101325,1044951.7022485,3.0196861854867e-05
56,101325,1007232.5223843,3.0196861854867e-05
57,101325,970842.20777095,3.0196861854867e-05
58,101325,935753.58563879,3.0196861854867e-05
59,101325,901937.80286425,3.0196861854867e-05
60,101325,869364.62046245,3.0196861854867e-05
61,101325,838002.68907604,3.0196861854867e-05
62,101325,807819.80362924,3.0196861854867e-05
63,101325,778783.13619511,3.0196861854867e-05
64,101325,750859.44683746,3.0196861854867e-05
65,101325,724015.2727488,3.0196861854867e-05
66,101325,698217.09642593,3.0196861854867e-05
67,101325,673431.49392494,3.0196861854867e-05
68,101325,649625.26443545,3.0196861854867e-05
69,101325,626765.54253129,3.0196861854867e-05
70,101325,604819.89450716,3.0196861854867e-05
