time,Re,inlet-p,outlet-p
0,0,5617133,5617133
1,0,5617133,2866123.76
2,17.994678831271,5578604.709574,1121749.48
3,22.845236351835,5484899.3829088,473642.04
4,22.843838083988,5352944.5030927,280588.76
5,21.897420307104,5207237.7751104,184062.12
6,20.877015272767,5065537.6898091,135798.8
7,19.923296536616,4937060.9876642,115114.52
8,19.079564663311,4824643.8611838,108219.76
9,18.350004224846,4727337.5401417,108219.76
10,17.717878678268,4642458.3989899,108219.76
11,17.1654909879,4567022.9804876,101325
12,16.681362289093,4498715.7214799,101325
13,16.234072085913,4435825.6840194,101325
14,15.821061671181,4377019.9576496,101325
15,15.434081095977,4321270.6338493,101325
16,15.067141153206,4267819.6758592,101325
17,14.716029818598,4216128.7463437,101325
18,14.377837458881,4165823.9181549,101325
19,14.050563116528,4116648.0533169,101325
20,13.73282387438,4068424.693144,101325
21,13.423652230137,4021032.3598375,101325
22,13.122358684441,3974386.8279067,101325
23,12.828439736555,3928429.0718253,101325
24,12.541516598925,3883117.1232687,101325
25,12.261294423655,3838420.5797585,101325
26,11.987535153818,3794316.8996759,101325
27,11.720039413579,3750788.8984159,101325
28,11.458634399603,3707823.0524727,101325
29,11.203165764482,3665408.3478555,101325
30,10.953494408997,3623535.8729701,101325
31,10.709485953164,3582197.1431451,101325
32,10.471015236368,3541384.884584,101325
33,10.237962250951,3501092.3964914,101325
34,10.010211014791,3461313.3785118,101325
35,9.7876487976558,3422041.8119769,101325
36,9.5701655950029,3383271.8781091,101325
37,9.3576537696598,3344997.9016762,101325
38,9.1500078075939,3307214.3122235,101325
39,8.9471241512572,3269915.6174711,101325
40,8.7489010856776,3233096.3851532,101325
41,8.5552386603582,3196751.2307255,101325
42,8.3660386354106,3160874.8091576,101325
43,8.1812044439913,3125461.8095732,101325
44,8.0006411656,3090506.9518744,101325
45,7.824255506504,3056004.9847487,101325
46,7.6519557847205,3021950.6846352,101325
47,7.4836519177958,2988338.8553555,101325
48,7.3192554121717,2955164.3281988,101325
49,7.15867935332,2922421.962316,101325
50,7.0018383960858,2890106.6453177,101325
51,6.8486487548707,2858213.2940032,101325
52,6.6990281934123,2826736.8551676,101325
53,6.5528960140082,2795672.3064514,101325
54,6.4101730460938,2765014.6572054,101325
55,6.2707816341288,2734758.9493533,101325
56,6.1346456247741,2704900.2582379,101325
57,6.001690353365,2675433.6934438,101325
58,5.8718426297,2646354.3995888,101325
59,5.7450307231717,2617657.5570802,101325
60,5.6211843472763,2589338.3828337,101325
61,5.5002346435402,2561392.130954,101325
62,5.3821141649039,2533814.0933739,101325
63,5.2667568586063,2506599.6004542,101325
64,5.1540980486115,2479744.0215431,101325
65,5.0440744176208,2453242.7654961,101325
66,4.9366239887105,2427091.2811563,101325
67,4.8316861066369,2401285.0577969,101325
68,4.7292014188474,2375819.6255257,101325
69,4.6291118562354,2350690.5556542,101325
70,4.5313606136755,2325893.4610295,101325
71,4.435892130374,2301423.9963339,101325
72,4.3426520700679,2277277.8583493,101325
73,4.2515873011041,2253450.786191,101325
74,4.1626458764292,2229938.5615088,101325
75,4.0757770135176,2206737.0086596,101325
76,3.9909310742673,2183841.9948501,101325
77,3.9080595448854,2161249.4302519,101325
78,3.8271150157911,2138955.2680896,101325
79,3.7480511615563,2116955.5047036,101325
80,3.6708227209063,2095246.1795876,101325
81,3.5953854768003,2073823.375403,101325
82,3.5216962366103,2052683.2179696,101325
83,3.449712812416,2031821.8762358,101325
84,3.3793940014313,2011235.5622263,101325
85,3.3106995665781,1990920.5309719,101325
86,3.2435902172215,1970873.0804181,101325
87,3.1780275900777,1951089.5513174,101325
88,3.1139742303086,1931566.3271031,101325
89,3.0513935728117,1912299.8337469,101325
90,2.9902499237175,1893286.5396012,101325
91,2.9305084421008,1874522.955226,101325
92,2.8721351219163,1856005.6332021,101325
93,2.8150967741646,1837731.1679302,101325
94,2.7593610092949,1819696.1954181,101325
95,2.7048962198514,1801897.3930555,101325
96,2.6516715633673,1784331.4793773,101325
97,2.5996569455116,1766995.2138162,101325
98,2.5488230034918,1749885.396446,101325
99,2.499141089717,1732998.8677139,101325
100,2.450583255722,1716332.5081658,101325
101,2.4031222363573,1699883.2381611,101325
102,2.356731434244,1683648.017582,101325
103,2.3113849044963,1667623.8455334,101325
104,2.2670573397124,1651807.7600374,101325
105,2.2237240552335,1636196.8377213,101325
106,2.1813609746712,1620788.193499,101325
107,2.1399446157029,1605578.980248,101325
108,2.0994520761351,1590566.3884809,101325
109,2.0598610202321,1575747.6460123,101325
110,2.0211496653108,1561120.0176218,101325
111,1.9832967685982,1546680.8047135,101325
112,1.9462816143514,1532427.344971,101325
113,1.9100840012367,1518357.0120109,101325
114,1.8746842299665,1504467.2150324,101325
115,1.840063091192,1490755.3984646,101325
116,1.8062018536472,1477219.0416127,101325
117,1.7730822525438,1463855.6583012,101325
118,1.740686478213,1450662.7965162,101325
119,1.7089971649908,1437638.0380466,101325
120,1.6779973803448,1424778.9981236,101325
121,1.6476706142381,1412083.3250604,101325
122,1.6180007687288,1399548.6998908,101325
123,1.5889721477988,1387172.8360075,101325
124,1.5605694474119,1374953.4788007,101325
125,1.5327777457953,1362888.4052963,101325
126,1.5055824939412,1350975.4237952,101325
127,1.4789695063265,1339212.3735121,101325
128,1.452924951845,1327597.1242159,101325
129,1.4274353449495,1316127.5758706,101325
130,1.4024875370004,1304801.6582769,101325
131,1.3780687078163,1293617.3307154,101325
132,1.354166357423,1282572.5815909,101325
133,1.3307682979985,1271665.4280782,101325
134,1.3078626460081,1260893.9157691,101325
135,1.2854378145286,1250256.118322,101325
136,1.2634825057551,1239750.137112,101325
137,1.241985703689,1229374.1008838,101325
138,1.2209366670029,1219126.1654065,101325
139,1.2003249220782,1209004.51313,101325
140,1.1801402562125,1199007.3528442,101325
141,1.1603727109934,1189132.9193399,101325
142,1.1410125758342,1179379.4730723,101325
143,1.1220503816698,1169745.299827,101325
144,1.1034768948074,1160228.7103883,101325
145,1.0852831109296,1150828.04021,101325
146,1.0674602492477,1141541.6490889,101325
147,1.0499997467989,1132367.9208411,101325
148,1.0328932528876,1123305.2629803,101325
149,1.0161326236648,1114352.1064,101325
150,0.99970991684458,1105506.9050574,101325
151,0.9836173865531,1096768.1356605,101325
152,0.96784747830746,1088134.2973585,101325
153,0.95239282412186,1079603.9114343,101325
154,0.9372462377377,1071175.5210005,101325
155,0.92240070997468,1062847.6906982,101325
156,0.90784940420026,1054619.0063986,101325
157,0.89358565191458,1046488.0749075,101325
158,0.87960294844808,1038453.5236737,101325
159,0.86589494876912,1030514.0004988,101325
160,0.85245546339905,1022668.1732517,101325
161,0.83927845443197,1014914.7295852,101325
162,0.82635803165677,1007252.3766554,101325
163,0.81368844877895,999679.84084523,101325
164,0.80126409973967,992195.8674901,101325
165,0.78907951512976,984799.22060688,101325
166,0.77712935869631,977488.68262609,101325
167,0.76540842393945,970263.05412698,101325
168,0.7539116307973,963121.15357575,101325
169,0.74263402241661,956061.81706678,101325
