time,Re,inlet-p,outlet-p
0,0,5617133,5617133
1,0,5617133,2866123.76
2,2.4341274616282,5580574.0095521,1121749.48
3,3.1015657990566,5489837.9758749,473642.04
4,3.1025495263709,5360268.8207871,280588.76
5,2.9771659691117,5215749.9562699,184062.12
6,2.8445766680714,5074054.1310247,135798.8
7,2.720557305957,4944641.665935,115114.52
8,2.6091016783526,4830659.4373001,108219.76
9,2.5105064712141,4731457.0703275,108219.76
10,2.422944033027,4644590.3004371,108219.76
11,2.3451534659202,4567231.8038985,101325
12,2.2770996243727,4497130.8593078,101325
13,2.2133836401843,4432603.4397061,101325
14,2.1541627662249,4372329.0928356,101325
15,2.0984956918699,4315280.5961867,101325
16,2.0456670419115,4260691.8645262,101325
17,1.9951569570196,4208012.063692,101325
18,1.946595570043,4156853.5478861,101325
19,1.8997205953231,4106945.997277,101325
20,1.8543444378963,4058101.0475056,101325
21,1.8103306192655,4010186.7768761,101325
22,1.7675774876872,3963109.9056763,101325
23,1.7260071493947,3916803.5727289,101325
24,1.6855579990872,3871218.9997214,101325
25,1.6461796881783,3826319.8192383,101325
26,1.6078297318113,3782078.2140634,101325
27,1.5704712149668,3738472.2849465,101325
28,1.5340712359761,3695484.2516104,101325
29,1.4985998456519,3653099.2197501,101325
30,1.4640293203764,3611304.333351,101325
31,1.4303336608855,3570088.1900127,101325
32,1.3974882440831,3529440.4363057,101325
33,1.365469865519,3489351.847618,101325
34,1.3342556924007,3449813.0396572,101325
35,1.3038240283532,3410815.4340178,101325
36,1.2741539212273,3372350.7907445,101325
37,1.2452250956466,3334411.1402393,101325
38,1.2170179016972,3296988.7349031,101325
39,1.1895132749057,3260076.0145754,101325
40,1.1626927041691,3223665.5816551,101325
41,1.1365382053329,3187750.1830309,101325
42,1.1110322988211,3152322.6968212,101325
43,1.0861579902087,3117376.1225187,101325
44,1.0618987529613,3082903.573556,101325
45,1.0382385127991,3048898.2715968,101325
46,1.0151616333029,3015353.542065,101325
47,0.99265290248948,2982262.8105612,101325
48,0.97069752016584,2949619.5999231,101325
49,0.94928108592045,2917417.5277523,101325
50,0.92838958765324,2885650.3042823,101325
51,0.90800939056967,2854311.7304977,101325
52,0.88812722658445,2823395.6964412,101325
53,0.86873018409404,2792896.1796592,101325
54,0.84980569808628,2762807.2437554,101325
55,0.83134154056261,2733123.0370256,101325
56,0.81332581125351,2703837.7911568,101325
57,0.7957469286109,2674945.8199782,101325
58,0.77859362106432,2646441.5182536,101325
59,0.76185491852946,2618319.3605082,101325
60,0.74552014415905,2590573.8998857,101325
61,0.72957890632714,2563199.7670306,101325
62,0.71402109083898,2536191.6689934,101325
63,0.69883685335873,2509544.3881562,101325
64,0.68401661204845,2483252.7811776,101325
65,0.66955104041173,2457311.7779546,101325
66,0.65543106033585,2431716.3806017,101325
67,0.64164783532662,2406461.6624452,101325
68,0.62819276393037,2381542.7670331,101325
69,0.61505747333772,2356954.9071593,101325
70,0.60223381316381,2332693.3639017,101325
71,0.58971384940025,2308753.4856746,101325
72,0.5774898585337,2285130.6872943,101325
73,0.56555432182658,2261820.4490575,101325
74,0.55389991975535,2238818.3158331,101325
75,0.54251952660185,2216119.896166,101325
76,0.53140620519359,2193720.8613939,101325
77,0.52055320178873,2171616.9447757,101325
78,0.50995394110185,2149803.9406324,101325
79,0.4996020214664,2128277.7034994,101325
80,0.48949121013031,2107034.1472905,101325
81,0.47961543868081,2086069.2444732,101325
82,0.46996879859505,2065379.0252558,101325
83,0.46054553691294,2044959.5767846,101325
84,0.45134005202888,2024807.0423531,101325
85,0.44234688959907,2004917.6206207,101325
86,0.43356073856119,1985287.5648435,101325
87,0.42497642726331,1965913.1821142,101325
88,0.41658891969911,1946790.832613,101325
89,0.40839331184636,1927916.9288684,101325
90,0.40038482810584,1909287.9350281,101325
91,0.39255881783792,1890900.3661399,101325
92,0.38491075199416,1872750.7874418,101325
93,0.37743621984118,1854835.813662,101325
94,0.37013092577432,1837152.1083289,101325
95,0.36299068621868,1819696.3830892,101325
96,0.35601142661494,1802465.397036,101325
97,0.34918917848776,1785455.9560461,101325
98,0.34252007659452,1768664.9121254,101325
99,0.33600035615198,1752089.162764,101325
100,0.32962635013887,1735725.6502994,101325
101,0.32339448667233,1719571.3612883,101325
102,0.31730128645602,1703623.3258872,101325
103,0.31134336029804,1687878.6172409,101325
104,0.30551740669667,1672334.3508792,101325
105,0.2998202094921,1656987.6841225,101325
106,0.29424863558231,1641835.8154938,101325
107,0.28879963270132,1626875.9841402,101325
108,0.28347022725806,1612105.4692615,101325
109,0.27825752223429,1597521.5895458,101325
110,0.27315869513983,1583121.702614,101325
111,0.26817099602355,1568903.2044704,101325
112,0.26329174553864,1554863.5289617,101325
113,0.25851833306057,1541000.1472427,101325
114,0.25384821485636,1527310.5672492,101325
115,0.2492789123037,1513792.3331782,101325
116,0.24480801015861,1500443.0249745,101325
117,0.24043315487015,1487260.257825,101325
118,0.23615205294116,1474241.6816592,101325
119,0.2319624693334,1461384.9806564,101325
120,0.2278622259162,1448687.8727596,101325
121,0.22384919995723,1436148.1091962,101325
122,0.21992132265424,1423763.4740045,101325
123,0.21607657770678,1411531.7835672,101325
124,0.21231299992656,1399450.8861506,101325
125,0.20862867388571,1387518.6614503,101325
126,0.2050217326015,1375733.0201432,101325
127,0.20149035625693,1364091.9034445,101325
128,0.19803277095588,1352593.2826724,101325
129,0.194647247512,1341235.1588167,101325
130,0.19133210027049,1330015.5621145,101325
131,0.1880856859617,1318932.5516315,101325
132,0.18490640258575,1307984.214848,101325
133,0.1817926883274,1297168.6672516,101325
134,0.17874302050021,1286484.051935,101325
135,0.17575591451922,1275928.5391985,101325
136,0.17282992290143,1265500.3261594,101325
137,0.16996363429324,1255197.6363648,101325
138,0.16715567252417,1245018.7194114,101325
139,0.16440469568607,1234961.850569,101325
140,0.16170939523719,1225025.3304103,101325
141,0.15906849513043,1215207.4844445,101325
142,0.15648075096495,1205506.662757,101325
143,0.1539449491608,1195921.2396534,101325
144,0.15145990615563,1186449.6133082,101325
145,0.14902446762305,1177090.2054185,101325
146,0.14663750771203,1167841.4608627,101325
147,0.14429792830671,1158701.8473634,101325
148,0.1420046583061,1149669.8551548,101325
149,0.13975665292311,1140743.9966553,101325
150,0.13755289300238,1131922.8061438,101325
151,0.13539238435645,1123204.839441,101325
152,0.13327415711963,1114588.6735947,101325
153,0.13119726511929,1106072.9065698,101325
154,0.12916078526386,1097656.1569419,101325
155,0.12716381694733,1089337.063596,101325
156,0.12520548146953,1081114.2854286,101325
157,0.12328492147206,1072986.5010543,101325
158,0.12140130038914,1064952.4085159,101325
159,0.11955380191322,1057010.7249998,101325
160,0.11774162947478,1049160.1865537,101325
161,0.11596400573605,1041399.5478091,101325
162,0.11422017209818,1033727.581708,101325
163,0.11250938822152,1026143.0792324,101325
164,0.11083093155873,1018644.8491382,101325
165,0.10918409690023,1011231.717693,101325
166,0.10756819593178,1003902.5284168,101325
167,0.10598255680378,996656.14182705,101325
168,0.10442652371201,989491.43518709,101325
169,0.10289945648949,982407.30225772,101325
170,0.10140073020916,975402.65305272,101325
171,0.099929734797068,968476.41359762,101325
