time,Re,inlet-p,outlet-p
0,0,7002980,7002980
1,0,7002980,7002980
2,5.0156166653235e-08,7002979.9999993,7002980
3,5.0156166653235e-08,7002979.9999993,3555600
4,3.9893494304961,6913283.3752106,1376856
5,4.9611172359553,6720775.3680491,618432
6,4.8173846229405,6474848.6270628,308168
7,4.5406445771248,6225816.3000279,204746
8,4.2614156543216,6001025.9727998,142694
9,4.0287982262701,5809773.4227836,115115
10,3.8351112002906,5651334.903093,108220
11,3.6715948334526,5520130.9017132,108220
12,3.531718098006,5409218.4910216,101325
13,3.4134575162696,5312938.6243971,101325
14,3.3064951153983,5227045.5167204,101325
15,3.2089670716802,5148411.9184915,101325
16,3.1183252360264,5074839.8980965,101325
17,3.0328467892374,5004854.7905248,101325
18,2.9514023394456,4937495.3191958,101325
19,2.8732570447772,4872142.7792946,101325
20,2.7979286131868,4808399.6323801,101325
21,2.7250939206198,4746008.96955,101325
22,2.6545297712104,4684802.8116069,101325
23,2.5860758721843,4624669.394968,101325
24,2.5196118044808,4565532.57707,101325
25,2.4550426967979,4507338.877844,101325
26,2.3922902898337,4450049.3110447,101325
27,2.3312873393909,4393634.2194505,101325
28,2.2719740923916,4338069.9974719,101325
29,2.2142960541245,4283337.0031803,101325
30,2.1582030646133,4229418.7079104,101325
31,2.1036468477705,4176299.3673829,101325
32,2.0505819741411,4123964.9530055,101325
33,1.998964934621,4072402.2923016,101325
34,1.9487538737001,4021598.8345854,101325
35,1.8999084053719,3971542.4972719,101325
36,1.8523894823129,3922221.5643964,101325
37,1.8061592996413,3873624.6190729,101325
38,1.7611812213183,3825740.4981051,101325
39,1.7174197215365,3778558.2611165,101325
40,1.6748403361623,3732067.1692343,101325
41,1.6334096210402,3686256.6700905,101325
42,1.5930951150808,3641116.3870162,101325
43,1.5538653067727,3596636.1110357,101325
44,1.5156896032228,3552805.7947388,101325
45,1.4785383011289,3509615.5474212,101325
46,1.4423825592867,3467055.6310884,101325
47,1.4071943723598,3425116.4570523,101325
48,1.3729465457262,3383788.5829376,101325
49,1.3396126712705,3343062.7099791,101325
50,1.3071671040277,3302929.6805245,101325
51,1.2755849396092,3263380.475689,101325
52,1.2448419923587,3224406.2131228,101325
53,1.2149147741952,3185998.1448652,101325
54,1.1857804741109,3148147.6552682,101325
55,1.1574169382943,3110846.2589769,101325
56,1.1298026508537,3074085.5989569,101325
57,1.1029167151204,3037857.4445647,101325
58,1.0767388355093,3002153.6896548,101325
59,1.0512492999209,2966966.3507213,101325
60,1.0264289626654,2932287.5650715,101325
61,1.0022592278929,2898109.5890299,101325
62,0.9787220335147,2864424.7961704,101325
63,0.95579983559988,2831225.6755772,101325
64,0.93347559323342,2798504.8301321,101325
65,0.91173275382132,2766254.974828,101325
66,0.8905552388297,2734468.9351082,101325
67,0.8699274299449,2703139.6452306,101325
68,0.84983415564184,2672260.1466564,101325
69,0.83026067814867,2641823.5864633,101325
70,0.81119268079577,2611823.2157813,101325
71,0.79261625573778,2582252.3882532,101325
72,0.77451789203759,2553104.5585166,101325
73,0.75688446410149,2524373.2807091,101325
74,0.73970322045506,2496052.2069955,101325
75,0.72296177284977,2468135.0861166,101325
76,0.70664808569047,2440615.7619596,101325
77,0.69075046577419,2413488.172149,101325
78,0.67525755233108,2386746.3466592,101325
79,0.66015830735857,2360384.4064466,101325
80,0.64544200623998,2334396.5621024,101325
81,0.63109822863924,2308777.1125246,101325
82,0.6171168496635,2283520.4436101,101325
83,0.60348803128568,2258621.0269653,101325
84,0.59020221401931,2234073.4186361,101325
85,0.57725010883818,2209872.2578565,101325
86,0.56462268933354,2186012.2658145,101325
87,0.55231118410175,2162488.2444375,101325
88,0.54030706935579,2139295.0751943,101325
89,0.52860206175367,2116427.7179149,101325
90,0.51718811143765,2093881.2096277,101325
91,0.50605739527775,2071650.6634131,101325
92,0.4952023103138,2049731.2672743,101325
93,0.4846154673898,2028118.2830241,101325
94,0.47428968497531,2006807.045188,101325
95,0.46421798316795,1985792.9599233,101325
96,0.45439357787195,1965071.5039538,101325
97,0.44480987514738,1944638.2235196,101325
98,0.43546046572506,1924488.7333428,101325
99,0.4263391196823,1904618.7156071,101325
100,0.41743978127461,1885023.9189534,101325
101,0.40875656391886,1865700.1574888,101325
102,0.40028374532342,1846643.3098105,101325
103,0.39201576276085,1827849.3180437,101325
104,0.38394720847901,1809314.1868929,101325
105,0.3760728252465,1791033.9827077,101325
106,0.36838750202838,1773004.8325611,101325
107,0.36088626978841,1755222.9233419,101325
108,0.35356429741409,1737684.5008594,101325
109,0.34641688776074,1720385.8689615,101325
110,0.33943947381125,1703323.3886654,101325
111,0.33262761494804,1686493.4773004,101325
112,0.32597699333388,1669892.6076632,101325
113,0.31948341039841,1653517.3071858,101325
114,0.31314278342717,1637364.1571141,101325
115,0.30695114225027,1621429.7917,101325
116,0.30090462602752,1605710.8974034,101325
117,0.29499948012744,1590204.2121065,101325
118,0.28923205309717,1574906.5243396,101325
119,0.28359879372069,1559814.672517,101325
120,0.27809624816281,1544925.5441849,101325
121,0.27272105719626,1530236.0752792,101325
122,0.2674699535095,1515743.2493948,101325
123,0.26233975909297,1501444.0970644,101325
124,0.25732738270125,1487335.6950483,101325
125,0.25242981738913,1473415.1656341,101325
126,0.24764413811923,1459679.6759468,101325
127,0.24296749943918,1446126.4372678,101325
128,0.23839713322622,1432752.7043649,101325
129,0.23393034649738,1419555.7748313,101325
130,0.2295645192831,1406532.9884335,101325
131,0.22529710256263,1393681.7264698,101325
132,0.22112561625927,1380999.411137,101325
133,0.21704764729369,1368483.5049065,101325
134,0.21306084769373,1356131.5099093,101325
135,0.20916293275887,1343940.9673301,101325
136,0.20535167927789,1331909.4568099,101325
137,0.2016249237981,1320034.5958567,101325
138,0.19798056094456,1308314.0392658,101325
139,0.19441654178804,1296745.4785471,101325
140,0.19093087225997,1285326.6413621,101325
141,0.18752161161331,1274055.2909675,101325
142,0.18418687092777,1262929.225668,101325
143,0.1809248116582,1251946.2782765,101325
144,0.17773364422486,1241104.3155818,101325
145,0.17461162664424,1230401.237825,101325
146,0.17155706319948,1219834.9781822,101325
147,0.16856830314896,1209403.5022556,101325
148,0.16564373947207,1199104.8075716,101325
149,0.16278180765111,1188936.9230864,101325
150,0.15998098448821,1178897.9086984,101325
151,0.15723978695619,1168985.8547682,101325
152,0.15455677108246,1159198.8816451,101325
153,0.15193053086499,1149535.1392008,101325
154,0.14935969721931,1139992.80637,101325
155,0.14684293695576,1130570.0906972,101325
156,0.14437895178601,1121265.2278906,101325
157,0.14196647735805,1112076.4813825,101325
158,0.13960428231877,1103002.1418959,101325
159,0.13729116740341,1094040.5270177,101325
160,0.135025964551,1085189.980778,101325
161,0.13280753604504,1076448.8732356,101325
162,0.13063477367879,1067815.6000699,101325
163,0.1285065979443,1059288.5821782,101325
164,0.12642195724463,1050866.2652798,101325
165,0.12437982712845,1042547.1195253,101325
