time,Re,inlet-p,outlet-p
0,0,4223937,4223937
0.1,0,4223937,4172961.2
0.2,0.7456364117181,4222064.0554228,4121985.4
0.3,1.4226009629685,4216305.704207,4071009.6
0.4,2.0166353345012,4205709.3379081,4020033.8
0.5,2.5276651233454,4190233.3708712,3969058
0.6,2.9627109814258,4170288.886787,3918082.2
0.7,3.3310948340124,4146432.9219672,3867106.4
0.8,3.6421631968047,4119224.7851389,3816130.6
0.9,3.9044187866331,4089172.3866394,3765154.8
1,4.125284782365,4056718.3634877,3714179
1.1,4.3111205363301,4022241.6443983,3485962.5
1.2,6.6897087865505,3981171.2540326,3257746
1.3,8.721925448031,3928576.8000177,3029529.5
1.4,10.387663493503,3862539.636424,2801313
1.5,11.706061707957,3783749.3969931,2573096.5
1.6,12.714143264575,3694156.2420195,2344880
1.7,13.45234098932,3596055.0479116,2116663.5
1.8,13.957829314165,3491662.5011171,1888447
1.9,14.262325052793,3382972.3051124,1660230.5
2,14.391925377819,3271734.1095623,1432014
2.1,14.367784936751,3159480.4905652,1347897.9
2.2,13.535247581093,3047986.3644381,1263781.8
2.3,12.752530899517,2939090.1170017,1179665.7
2.4,12.028698122224,2834169.8940963,1095549.6
2.5,11.366218959899,2733967.4730791,1011433.5
2.6,10.762183527513,2638723.0700248,927317.4
2.7,10.210947714866,2548377.7292795,843201.3
2.8,9.70598628473,2462728.1607556,759085.2
2.9,9.2409086731643,2381520.6954023,674969.1
3,8.809947944938,2304502.2045698,590853
3.1,8.4081894904806,2231446.3592213,561895
3.2,7.9149912093174,2162125.6068436,532937
3.3,7.4644694942224,2096330.3227105,503979
3.4,7.0518549953085,2033887.3534588,475021
3.5,6.6735914001775,1974645.0625152,446063
3.6,6.3265194528498,1918453.7750411,417105
3.7,6.0077202118579,1865158.4038393,388147
3.8,5.7144964708454,1814600.592995,359189
3.9,5.4443886782787,1766624.0962931,330231
4,5.1951902545208,1721079.850448,301273
4.1,4.964954872301,1677829.6897505,291620.3
4.2,4.7273321448828,1636735.0866168,281967.6
4.3,4.5075767347411,1597649.6693857,272314.9
4.4,4.3037457244096,1560427.6626346,262662.2
4.5,4.1142944335938,1524934.2800345,253009.5
4.6,3.937891733553,1491049.5500711,243356.8
4.7,3.7733768781338,1458667.437142,233704.1
4.8,3.6197287795031,1427693.585598,224051.4
4.9,3.4760424126047,1398043.2493187,214398.7
5,3.3415111186308,1369639.7418089,204746
5.1,3.2154131753908,1342413.3242912,198540.8
5.2,3.0937589630592,1316299.165182,192335.6
5.3,2.9794603130546,1291234.9820252,186130.4
5.4,2.8719199261643,1267160.6266693,179925.2
5.5,2.7706186503318,1244019.1755894,173720
5.6,2.6750883181095,1221757.9245397,167514.8
5.7,2.5849069972104,1200328.70404,161309.6
5.8,2.4996945949055,1179687.6971469,155104.4
5.9,2.4191082738173,1159795.0479271,148899.2
6,2.342838182013,1140614.4345003,142694
6.1,2.2706037206774,1122112.6790664,140625.5
6.2,2.1989376123745,1104258.8103915,138557
6.3,2.1308879374424,1087021.4906934,136488.5
6.4,2.066185717777,1070368.381959,134420
6.5,2.0046021925876,1054266.6333413,132351.5
6.6,1.9459237773435,1038684.261144,130283
6.7,1.8899531859093,1023591.2250539,128214.5
6.8,1.8365103628294,1008959.9411005,126146
6.9,1.7854319557277,994765.36941867,124077.5
7,1.7365699589557,980984.87020852,122009
7.1,1.6897900724895,967597.96340086,120630.1
