time,inlet-p,outlet-p
0,4293339,4293339
1,4293339,3714179
2,3744086.7627978,1432014
3,1699422.2132745,590853
4,833659.1763146,301273
5,478717.44807841,204746
6,319677.25143732,142694
7,232095.85335819,122009
8,182381.44899858,108220
9,151701.92039983,108220
10,133996.11385453,108220
11,123591.98910441,101325
12,115516.47836471,101325
13,110176.3379821,101325
14,106805.63518991,101325
15,104912.83195293,101325
16,103672.17765888,101325
17,102860.34032813,101325
18,102329.34401012,101325
19,101982.04439195,101325
20,101982.04439195,101325
21,101982.04439195,101325
22,101982.04439195,101325
23,101982.04439195,101325
24,101982.04439195,101325
25,101982.04439195,101325
26,101982.04439195,101325
27,101982.04439195,101325
28,101982.04439195,101325
29,101982.04439195,101325
30,101982.04439195,101325
31,101982.04439195,101325
32,101982.04439195,101325
33,101982.04439195,101325
34,101982.04439195,101325
35,101982.04439195,101325
36,101982.04439195,101325
37,101982.04439195,101325
38,101982.04439195,101325
39,101982.04439195,101325
40,101982.04439195,101325
