time,Re,inlet-p,outlet-p,time
0,0,7002980,7002980,0
0.1,0,7002980,6658242,0.1
0.2,3.5095032628166,7002955.7608125,6313504,0.2
0.3,6.8412703766896,7002821.6044331,5968766,0.3
0.4,9.995430379196,7002615.3649664,5624028,0.4
0.5,12.974427598497,7002572.3577997,5279290,0.5
0.6,15.781273380061,7002978.5284678,4934552,0.6
0.7,18.417815526812,7004006.4757207,4589814,0.7
0.8,20.884046605571,7005649.2882374,4245076,0.8
0.9,23.178292793357,7007738.4843122,3900338,0.9
1,25.297784275569,7009998.3632813,3555600,1
1.1,27.239257727231,7012103.0733506,3337725.6,1.1
1.2,28.375603761724,7013722.5967981,3119851.2,1.2
1.3,29.4347835337,7014591.7713917,2901976.8,1.3
1.4,30.413790339818,7014490.75553,2684102.4,1.4
1.5,31.310183783922,7013194.9656978,2466228,1.5
1.6,32.121668302658,7010481.1576888,2248353.6,1.6
1.7,32.846406403031,7006163.2028829,2030479.2,1.7
1.8,33.483275179947,7000117.4354377,1812604.8,1.8
1.9,34.031925503785,6992287.8721805,1594730.4,1.9
2,34.492707407185,6982678.0671058,1376856,2
2.1,34.866547800013,6971337.8741112,1301013.6,2.1
2.2,34.881459905735,6958341.0501772,1225171.2,2.2
2.3,34.874781534483,6943828.6263922,1149328.8,2.3
2.4,34.847252474959,6928005.9120126,1073486.4,2.4
2.5,34.800664458973,6911066.0215016,997644,2.5
2.6,34.736412575945,6893145.2216009,921801.6,2.6
2.7,34.655435642383,6874329.6477217,845959.2,2.7
2.8,34.558442124055,6854680.302512,770116.8,2.8
2.9,34.446108089341,6834253.4331807,694274.4,2.9
3,34.319179139161,6813111.0446648,618432,3
3.1,34.178498380734,6791324.0017871,587405.6,3.1
3.2,33.981524684162,6768966.8956443,556379.2,3.2
3.3,33.779939417505,6746132.6275841,525352.8,3.3
3.4,33.574456478725,6722939.8472809,494326.4,3.4
3.5,33.366245560939,6699511.0729749,463300,3.5
3.6,33.156354269046,6675951.6647581,432273.6,3.6
3.7,32.945608712338,6652344.1730382,401247.2,3.7
3.8,32.734645618331,6628752.3420168,370220.8,3.8
3.9,32.523972543019,6605227.2791712,339194.4,3.9
4,32.314017257433,6581812.4174274,308168,4
4.1,32.105159565542,6558546.6980781,297825.8,4.1
4.2,31.885666070514,6535464.0955054,287483.6,4.2
4.3,31.66927963113,6512602.1585992,277141.4,4.3
4.4,31.456190979623,6490009.0442816,266799.2,4.4
4.5,31.24682459755,6467735.4166493,256457,4.5
4.6,31.041551612306,6445824.0460692,246114.8,4.6
4.7,30.84062997386,6424305.6745777,235772.6,4.7
4.8,30.644210408387,6403199.9266118,225430.4,4.8
4.9,30.452362665849,6382518.0215364,215088.2,4.9
5,30.265101647687,6362265.4352041,204746,5
5.1,30.082407383652,6342443.9352381,198540.8,5.1
5.2,29.902330325011,6323052.4855283,192335.6,5.2
5.3,29.726843670286,6304089.7198804,186130.4,5.3
5.4,29.555864834979,6285555.9512823,179925.2,5.4
5.5,29.389361293372,6267452.0353997,173720,5.5
5.6,29.22729298548,6249777.3537606,167514.8,5.6
5.7,29.069600578281,6232529.001583,161309.6,5.7
5.8,28.916206171388,6215701.926401,155104.4,5.8
5.9,28.767018529038,6199289.4947947,148899.2,5.9
6,28.621938620397,6183284.083423,142694,6
6.1,28.480864060205,6167677.5550829,139936.1,6.1
6.2,28.342368544604,6152461.1731847,137178.2,6.2
6.3,28.20773345791,6137627.0944978,134420.3,6.3
6.4,28.07684188315,6123169.7875429,131662.4,6.4
6.5,27.949626443749,6109084.9129048,128904.5,6.5
