time,Re,inlet-p,outlet-p,time
0,0,7002980,7002980,0
1,0,7002980,3555600,1
2,0.076651165204701,7379111.2880737,1376856,2
3,0.12894735539108,8496500.0323526,618432,3
4,0.17662754073477,9840470.3940835,308168,4
5,0.22104796240428,10996479.528893,204746,5
6,0.25746027536076,11868324.281619,142694,6
7,0.28505411944088,12489234.890726,115115,7
8,0.30514985684152,12923132.066022,108220,8
9,0.31939859399864,13222377.8944,108220,9
10,0.32928701685094,13426202.026323,101325,10
11,0.33609579369358,13564688.187982,101325,11
12,0.34078812138444,13659379.568399,101325,12
13,0.34399365891459,13723691.0867,101325,13
14,0.34617329536177,13767249.753786,101325,14
15,0.34765285145751,13796740.017735,101325,15
16,0.34865633342773,13816705.76955,101325,16
17,0.34933582685458,13830209.117009,101325,17
18,0.34979616034882,13839349.810183,101325,18
19,0.35010766962321,13845532.021338,101325,19
20,0.35031813337399,13849707.402966,101325,20
21,0.35045999553913,13852521.163653,101325,21
22,0.35055528423464,13854410.915764,101325,22
23,0.35061838214898,13855662.193433,101325,23
24,0.35066039983182,13856495.442879,101325,24
25,0.35068804404124,13857043.69815,101325,25
26,0.3507058854276,13857397.602211,101325,26
27,0.35071703904466,13857618.922138,101325,27
28,0.35072362567079,13857749.706151,101325,28
29,0.35072678338599,13857812.496872,101325,29
30,0.35072817676831,13857840.314192,101325,30
31,0.35072830350235,13857843.023723,101325,31
32,0.35072752928822,13857827.873542,101325,32
33,0.35072614047046,13857800.537866,101325,33
34,0.35072432398032,13857764.723184,101325,34
35,0.35072220889394,13857722.988565,101325,35
36,0.35071988542256,13857677.122462,101325,36
37,0.35071741654192,13857628.373371,101325,37
38,0.35071484620134,13857577.61259,101325,38
39,0.35071220506939,13857525.448125,101325,39
40,0.35070951454654,13857472.304244,101325,40
41,0.35070678956585,13857418.476999,101325,41
42,0.35070404054753,13857364.172972,101325,42
43,0.3507012747627,13857309.536316,101325,43
44,0.35069849728509,13857254.667619,101325,44
45,0.35069571165511,13857199.637073,101325,45
46,0.35069292034323,13857144.493655,101325,46
47,0.35069012507334,13857089.271543,101325,47
48,0.35068732704837,13857033.994585,101325,48
49,0.35068452710771,13856978.679424,101325,49
50,0.35068172583708,13856923.337672,101325,50
51,0.35067892364521,13856867.977432,101325,51
52,0.35067612081728,13856812.604358,101325,52
53,0.35067331755232,13856757.222396,101325,53
54,0.3506705139892,13856701.8343,101325,54
55,0.35066771022482,13856646.44199,101325,55
56,0.35066490632681,13856591.046808,101325,56
57,0.35066210234234,13856535.649689,101325,57
58,0.35065929830436,13856480.251285,101325,58
59,0.35065649423583,13856424.852053,101325,59
60,0.35065369015278,13856369.452309,101325,60
61,0.35065088606641,13856314.052277,101325,61
62,0.35064808198451,13856258.65211,101325,62
63,0.35064527791254,13856203.251918,101325,63
64,0.3506424738543,13856147.851774,101325,64
65,0.35063966981244,13856092.451732,101325,65
66,0.35063686578882,13856037.051828,101325,66
67,0.35063406178471,13855981.652089,101325,67
68,0.35063125780103,13855926.252531,101325,68
69,0.35062845383841,13855870.853168,101325,69
70,0.35062564989728,13855815.454008,101325,70
71,0.35062284597794,13855760.055056,101325,71
72,0.35062004208062,13855704.656319,101325,72
73,0.35061723820546,13855649.257797,101325,73
74,0.35061443435256,13855593.859494,101325,74
75,0.350611630522,13855538.461411,101325,75
76,0.35060882671382,13855483.063548,101325,76
77,0.35060602292807,13855427.665907,101325,77
78,0.35060321916476,13855372.268489,101325,78
79,0.35060041542392,13855316.871292,101325,79
80,0.35059761170556,13855261.474318,101325,80
81,0.35059480800969,13855206.077567,101325,81
82,0.3505920043363,13855150.681039,101325,82
83,0.35058920068541,13855095.284734,101325,83
84,0.350586397057,13855039.888651,101325,84
85,0.35058359345111,13854984.492792,101325,85
86,0.35058078986771,13854929.097156,101325,86
87,0.3505779863068,13854873.701743,101325,87
88,0.3505751827684,13854818.306553,101325,88
89,0.35057237925251,13854762.911586,101325,89
90,0.35056957575911,13854707.516842,101325,90
91,0.35056677228822,13854652.122322,101325,91
92,0.35056396883982,13854596.728024,101325,92
93,0.35056116541393,13854541.33395,101325,93
94,0.35055836201054,13854485.940099,101325,94
95,0.35055555862965,13854430.546471,101325,95
96,0.35055275527126,13854375.153066,101325,96
97,0.35054995193536,13854319.759884,101325,97
98,0.35054714862198,13854264.366925,101325,98
99,0.35054434533109,13854208.97419,101325,99
100,0.3505415420627,13854153.581677,101325,100
101,0.35053873881681,13854098.189388,101325,101
