time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4293136.4514439,4177507
0.3,4292254.4695789,4119591
0.4,4290099.1694774,4061675
0.5,4286147.5153125,4003759
0.6,4280040.1889591,3945843
0.7,4271586.8904271,3887927
0.8,4260731.2165864,3830011
0.9,4247508.5969194,3772095
1,4232011.3105839,3714179
1.1,4214363.4348433,3485962.5
1.2,4194291.7573878,3257746
1.3,4170975.931857,3029529.5
1.4,4143396.9153041,2801313
1.5,4110752.5120711,2573096.5
1.6,4072654.4975098,2344880
1.7,4029122.430917,2116663.5
1.8,3980485.2816887,1888447
1.9,3927271.2973454,1660230.5
2,3870119.7976762,1432014
2.1,3809721.2688474,1347897.9
2.2,3746797.3181544,1263781.8
2.3,3682098.3936718,1179665.7
2.4,3616370.2370731,1095549.6
2.5,3550295.3727921,1011433.5
2.6,3484447.4876037,927317.4
2.7,3419276.1742063,843201.3
2.8,3355116.2123187,759085.2
2.9,3292209.0833146,674969.1
3,3230726.6512288,590853
3.1,3170792.9484354,561895
3.2,3112492.400008,532937
3.3,3055872.1045036,503979
3.4,3000949.2622705,475021
3.5,2947721.1394978,446063
3.6,2896172.9244402,417105
3.7,2846282.3597324,388147
3.8,2798022.3777259,359189
3.9,2751362.9447793,330231
4,2706272.6880916,301273
4.1,2662720.4617941,291620.3
4.2,2620673.6523895,281967.6
4.3,2580093.4950218,272314.9
4.4,2540932.1193195,262662.2
4.5,2503133.5601702,253009.5
4.6,2466637.2132718,243356.8
4.7,2431381.5267966,233704.1
4.8,2397306.7722861,224051.4
4.9,2364356.7069422,214398.7
5,2332479.3646704,204746
5.1,2301627.2837358,198540.8
5.2,2271757.035526,192335.6
5.3,2242828.0648209,186130.4
5.4,2214801.7768552,179925.2
5.5,2187640.2069346,173720
5.6,2161306.8821084,167514.8
5.7,2135766.9289488,161309.6
5.8,2110987.4651559,155104.4
5.9,2086937.8658526,148899.2
6,2063589.8808565,142694
6.1,2040917.6321809,140625.5
6.2,2018897.2154925,138557
6.3,1997505.6577658,136488.5
6.4,1976719.6773858,134420
6.5,1956514.9475651,132351.5
6.6,1936866.1022213,130283
6.7,1917747.2553577,128214.5
6.8,1899132.6888334,126146
6.9,1880997.4695975,124077.5
7,1863317.896087,122009
7.1,1846071.7647726,120630.1
7.2,1829238.4558502,119251.2
7.3,1812798.8366724,117872.3
7.4,1796735.0545382,116493.4
7.5,1781030.3371528,115114.5
7.6,1765668.8713689,113735.6
7.7,1750635.7584741,112356.7
7.8,1735917.0100142,110977.8
7.9,1721499.5504044,109598.9
8,1707371.2077186,108220
8.1,1693520.6872031,108220
8.2,1679937.4893646,108220
8.3,1666611.7064149,108220
8.4,1653533.7242116,108220
8.5,1640693.9618655,108220
8.6,1628082.7544295,108220
8.7,1615690.38544,108220
8.8,1603507.2119434,108220
8.9,1591523.8172368,108220
9,1579731.1477838,108220
9.1,1568120.6146778,108220
9.2,1556684.1563403,108220
9.3,1545414.2673952,108220
9.4,1534304.0014883,108220
9.5,1523346.955784,108220
9.6,1512537.2436379,108220
9.7,1501869.4604383,108220
9.8,1491338.6462137,108220
9.9,1480940.2474759,108220
10,1470670.079909,108220
10.1,1460524.2928946,107530.5
10.2,1450499.3423236,106841
10.3,1440591.9888787,106151.5
10.4,1430799.3284293,105462
10.5,1421118.8317232,104772.5
10.6,1411548.3610583,104083
10.7,1402086.1492251,103393.5
10.8,1392730.7470344,102704
10.9,1383480.9550653,102014.5
11,1374335.7540765,101325
11.1,1365294.2431872,101325
11.2,1356355.5865902,101325
11.3,1347518.9577267,101325
11.4,1338783.4710148,101325
11.5,1330148.1110638,101325
11.6,1321611.6816853,101325
11.7,1313172.7887203,101325
11.8,1304829.8550453,101325
11.9,1296581.1566419,101325
12,1288424.8673796,101325
12.1,1280359.1033293,101325
12.2,1272381.9614259,101325
12.3,1264491.550429,101325
12.4,1256686.0140705,101325
12.5,1248963.5472604,101325
12.6,1241322.4065844,101325
12.7,1233760.9163523,101325
12.8,1226277.4713168,101325
12.9,1218870.5369906,101325
13,1211538.6482947,101325
13.1,1204280.4070988,101325
13.2,1197094.4790702,101325
13.3,1189979.590135,101325
13.4,1182934.5227692,101325
13.5,1175958.1122682,101325
13.6,1169049.2430986,101325
