time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4291753.7040112,4177507
0.3,4286698.5686502,4119591
0.4,4277078.5189119,4061675
0.5,4262624.2876657,4003759
0.6,4243560.4521123,3945843
0.7,4220325.8156534,3887927
0.8,4193416.4215316,3830011
0.9,4163313.2223035,3772095
1,4130454.1618543,3714179
1.1,4095226.7497782,3485962.5
1.2,4054560.4873141,3257746
1.3,4004744.305107,3029529.5
1.4,3943926.9618387,2801313
1.5,3872210.4210171,2573096.5
1.6,3790844.989723,2344880
1.7,3701539.0394975,2116663.5
1.8,3606072.0215733,1888447
1.9,3506122.856917,1660230.5
2,3403213.0958446,1432014
2.1,3298703.8402452,1347897.9
2.2,3194184.1163646,1263781.8
2.3,3091287.8130158,1179665.7
2.4,2991296.9046481,1095549.6
2.5,2894994.1823567,1011433.5
2.6,2802740.2658842,927317.4
2.7,2714616.9160803,843201.3
2.8,2630549.8226742,759085.2
2.9,2550391.3310586,674969.1
3,2473970.2806979,590853
3.1,2401120.7475631,561895
3.2,2331681.4487338,532937
3.3,2265505.4237242,503979
3.4,2202461.4618221,475021
3.5,2142424.1227837,446063
3.6,2085264.4794338,417105
3.7,2030847.6342012,388147
3.8,1979035.2972079,359189
3.9,1929690.2007914,330231
4,1882680.1011615,301273
4.1,1837881.1270354,291620.3
4.2,1795171.1971326,281967.6
4.3,1754425.3083012,272314.9
4.4,1715518.5963304,262662.2
4.5,1678331.7537592,253009.5
4.6,1642754.3781251,243356.8
4.7,1608685.8720466,233704.1
4.8,1576034.988242,224051.4
4.9,1544718.9117976,214398.7
5,1514662.309069,204746
5.1,1485796.4882138,198540.8
5.2,1458057.7916834,192335.6
5.3,1431385.8998878,186130.4
5.4,1405723.1907174,179925.2
5.5,1381015.0287561,173720
5.6,1357210.2657739,167514.8
5.7,1334261.5239601,161309.6
5.8,1312125.201065,155104.4
5.9,1290761.2883965,148899.2
6,1270133.1015409,142694
6.1,1250206.9902763,140625.5
6.2,1230951.576198,138557
6.3,1212335.7785886,136488.5
6.4,1194328.4709679,134420
6.5,1176898.4017915,132351.5
6.6,1160014.8882818,130283
6.7,1143648.5557739,128214.5
6.8,1127771.8455939,126146
6.9,1112359.2519787,124077.5
7,1097387.3521848,122009
7.1,1082834.7099462,120630.1
7.2,1068681.6606377,119251.2
7.3,1054910.0037661,117872.3
7.4,1041502.7189717,116493.4
7.5,1028443.7950058,115114.5
7.6,1015718.1629911,113735.6
7.7,1003311.6778763,112356.7
7.8,991211.10299641,110977.8
7.9,979404.0789119,109598.9
8,967879.07535201,108220
8.1,956625.33198874,108220
8.2,945632.74077214,108220
8.3,934891.63150131,108220
8.4,924392.54830324,108220
8.5,914126.13876515,108220
8.6,904083.18074807,108220
8.7,894254.68876631,108220
8.8,884632.03203188,108220
8.9,875207.02458531,108220
9,865971.97608469,108220
9.1,856919.70744947,108220
9.2,848043.540869,108220
9.3,839337.27362428,108220
9.4,830795.143174,108220
9.5,822411.78871203,108220
9.6,814182.21253479,108220
9.7,806101.74318852,108220
9.8,798166.00143718,108220
9.9,790370.86949324,108220
10,782712.46358897,108220
10.1,775187.10975508,107530.5
10.2,767791.32753705,106841
10.3,760521.83125681,106151.5
10.4,753375.54503613,105462
10.5,746349.61154545,104772.5
10.6,739441.37987918,104083
10.7,732648.37454847,103393.5
10.8,725968.25659932,102704
10.9,719398.78686791,102014.5
11,712937.79657581,101325
11.1,706583.16639901,101325
11.2,700332.81069594,101325
11.3,694184.65866131,101325
11.4,688136.62956494,101325
11.5,682186.61169664,101325
11.6,676332.45612875,101325
11.7,670571.98692669,101325
11.8,664903.02145711,101325
11.9,659323.39306457,101325
12,653830.97094648,101325
12.1,648423.67508462,101325
12.2,643099.48609853,101325
12.3,637856.45081507,101325
12.4,632692.68459382,101325
12.5,627606.37136913,101325
12.6,622595.76218086,101325
12.7,617659.1727691,101325
12.8,612794.98064224,101325
12.9,608001.62189854,101325
13,603277.5879876,101325
13.1,598621.4225306,101325
13.2,594031.7182719,101325
13.3,589507.11420256,101325
13.4,585046.29287515,101325
13.5,580647.97791537,101325
13.6,576310.93172714,101325
13.7,572033.95338245,101325
13.8,567815.87668444,101325
13.9,563655.5683905,101325
14,559551.92658211,101325
