time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4293026.528093,4177507
0.3,4291745.5474156,4119591
0.4,4288766.6355017,4061675
0.5,4283521.1408224,4003759
0.6,4275675.9254469,3945843
0.7,4265103.6936501,3887927
0.8,4251821.4600002,3830011
0.9,4235934.3976556,3772095
1,4217595.305957,3714179
1.1,4196978.4992466,3485962.5
1.2,4173621.1418898,3257746
1.3,4146361.8180116,3029529.5
1.4,4113939.7547386,2801313
1.5,4075515.0031703,2573096.5
1.6,4030822.0630755,2344880
1.7,3980080.3503116,2116663.5
1.8,3923833.1933696,1888447
1.9,3862805.2644499,1660230.5
2,3797802.9509126,1432014
2.1,3729654.0857026,1347897.9
2.2,3659210.5446674,1263781.8
2.3,3587354.3167773,1179665.7
2.4,3514940.9523736,1095549.6
2.5,3442719.262044,1011433.5
2.6,3371283.1800669,927317.4
2.7,3301068.2647471,843201.3
2.8,3232375.377024,759085.2
2.9,3165403.6434259,674969.1
3,3100281.6949179,590853
3.1,3037093.4653918,561895
3.2,2975885.4189493,532937
3.3,2916669.4089849,503979
3.4,2859431.9749769,475021
3.5,2804144.8027198,446063
3.6,2750771.330269,417105
3.7,2699269.9011783,388147
3.8,2649595.48582,359189
3.9,2601701.1823404,330231
4,2555539.8204389,301273
4.1,2511065.6191662,291620.3
4.2,2468231.6045538,281967.6
4.3,2426984.0042088,272314.9
4.4,2387259.9500928,262662.2
4.5,2348989.6277584,253009.5
4.6,2312100.5385085,243356.8
4.7,2276521.3590892,233704.1
4.8,2242184.464021,224051.4
4.9,2209027.1933679,214398.7
5,2176992.2635029,204746
5.1,2146027.6894075,198540.8
5.2,2116085.9826379,192335.6
5.3,2087122.7026064,186130.4
5.4,2059095.2107586,179925.2
5.5,2031962.2151867,173720
5.6,2005683.9738715,167514.8
5.7,1980222.7400627,161309.6
5.8,1955543.1484104,155104.4
5.9,1931612.4309135,148899.2
6,1908400.4685879,142694
6.1,1885879.7263558,140625.5
6.2,1864024.7236802,138557
6.3,1842810.820316,136488.5
6.4,1822212.921259,134420
6.5,1802204.848302,132351.5
6.6,1782759.5186747,130283
6.7,1763849.5975582,128214.5
6.8,1745448.2415663,126146
6.9,1727529.7066306,124077.5
7,1710069.747864,122009
7.1,1693045.8261992,120630.1
7.2,1676437.1288057,119251.2
7.3,1660224.4093996,117872.3
7.4,1644389.737527,116493.4
7.5,1628916.2827596,115114.5
7.6,1613788.3309194,113735.6
7.7,1598990.8291106,112356.7
7.8,1584509.8032133,110977.8
7.9,1570332.2130305,109598.9
8,1556445.9350904,108220
8.1,1542839.727349,108220
8.2,1529503.1329311,108220
8.3,1516426.2566777,108220
8.4,1503599.4585549,108220
8.5,1491013.1080289,108220
8.6,1478657.4964475,108220
8.7,1466522.8976991,108220
8.8,1454599.7095371,108220
8.9,1442878.6094622,108220
9,1431350.6852252,108220
9.1,1420007.524879,108220
9.2,1408841.266655,108220
9.3,1397844.6158023,108220
9.4,1387010.83723,108220
9.5,1376333.7320097,108220
9.6,1365807.6041633,108220
9.7,1355427.2224535,108220
9.8,1345187.7804487,108220
9.9,1335084.8570057,108220
10,1325114.3784965,108220
10.1,1315272.5835314,107530.5
10.2,1305555.9968041,106841
10.3,1295961.428856,106151.5
10.4,1286486.0059989,105462
10.5,1277127.2057781,104772.5
10.6,1267882.8672132,104083
10.7,1258751.1644366,103393.5
10.8,1249730.552324,102704
10.9,1240819.7000578,102014.5
11,1232017.4260873,101325
11.1,1223322.642274,101325
11.2,1214734.3068065,101325
11.3,1206251.374447,101325
11.4,1197872.7352637,101325
11.5,1189597.1526691,101325
11.6,1181423.2219686,101325
11.7,1173349.3611239,101325
11.8,1165373.8304307,101325
11.9,1157494.7697366,101325
12,1149710.2416035,101325
12.1,1142018.2723243,101325
12.2,1134416.8865827,101325
12.3,1126904.134386,101325
12.4,1119478.1105534,101325
12.5,1112136.9678102,101325
12.6,1104878.9247649,101325
12.7,1097702.2699918,101325
12.8,1090605.3632705,101325
12.9,1083586.6348287,101325
13,1076644.5832442,101325
13.1,1069777.772494,101325
13.2,1062984.8285108,101325
13.3,1056264.4355009,101325
13.4,1049615.3322011,101325
13.5,1043036.3081951,101325
13.6,1036526.2003659,101325
