time,inlet-p,outlet-p,time
0,7002980,7002980,0
1,7002980,3555600,1
2,6958034.7188549,1376856,2
3,6851644.2735774,618432,3
4,6709556.2877108,308168,4
5,6566011.8357227,204746,5
6,6439632.6645517,142694,6
7,6335549.4543153,115115,7
8,6251820.5842926,108220,8
9,6183243.4265424,108220,9
10,6124356.2232046,101325,10
11,6071682.926936,101325,11
12,6023030.1725444,101325,12
13,5976850.7132716,101325,13
14,5932182.9138446,101325,14
15,5888481.9985532,101325,15
16,5845451.7093182,101325,16
17,5802932.7701821,101325,17
18,5760839.3281672,101325,18
19,5719124.5419674,101325,19
20,5677762.2682666,101325,20
21,5636737.3626885,101325,21
22,5596040.5438563,101325,22
23,5555665.6688626,101325,23
24,5515608.2841519,101325,24
25,5475864.8524536,101325,25
26,5436432.3390581,101325,26
27,5397307.9896719,101325,27
28,5358489.210727,101325,28
29,5319973.5046575,101325,29
30,5281758.4347574,101325,30
31,5243841.6060106,101325,31
32,5206220.6545699,101325,32
33,5168893.2419375,101325,33
34,5131857.0517067,101325,34
35,5095109.787704,101325,35
36,5058649.1729018,101325,36
37,5022472.9487524,101325,37
38,4986578.8747579,101325,38
39,4950964.7281687,101325,39
40,4915628.3037555,101325,40
41,4880567.4136224,101325,41
42,4845779.8870425,101325,42
43,4811263.5703075,101325,43
44,4777016.3265858,101325,44
45,4743036.0357849,101325,45
46,4709320.5944171,101325,46
47,4675867.9154682,101325,47
48,4642675.9282671,101325,48
49,4609742.5783577,101325,49
50,4577065.8273707,101325,50
51,4544643.6528985,101325,51
52,4512474.0483691,101325,52
53,4480555.0229224,101325,53
54,4448884.6012873,101325,54
55,4417460.8236593,101325,55
56,4386281.7455793,101325,56
57,4355345.4378136,101325,57
58,4324649.9862347,101325,58
59,4294193.491703,101325,59
60,4263974.0699492,101325,60
61,4233989.8514581,101325,61
62,4204238.9813533,101325,62
63,4174719.619282,101325,63
64,4145429.939302,101325,64
65,4116368.1297683,101325,65
66,4087532.3932219,101325,66
67,4058920.946278,101325,67
68,4030532.0195164,101325,68
69,4002363.8573722,101325,69
70,3974414.718027,101325,70
71,3946682.8733017,101325,71
72,3919166.60855,101325,72
73,3891864.2225519,101325,73
74,3864774.0274092,101325,74
75,3837894.3484412,101325,75
76,3811223.5240812,101325,76
77,3784759.905774,101325,77
78,3758501.8578744,101325,78
79,3732447.7575457,101325,79
80,3706595.9946603,101325,80
81,3680944.9716996,101325,81
82,3655493.1036561,101325,82
83,3630238.8179351,101325,83
84,3605180.554258,101325,84
85,3580316.764566,101325,85
86,3555645.9129243,101325,86
87,3531166.4754279,101325,87
88,3506876.9401072,101325,88
89,3482775.8068351,101325,89
90,3458861.587234,101325,90
91,3435132.8045846,101325,91
92,3411587.9937345,101325,92
93,3388225.7010078,101325,93
94,3365044.4841157,101325,94
95,3342042.9120677,101325,95
96,3319219.5650831,101325,96
97,3296573.0345036,101325,97
98,3274101.9227065,101325,98
99,3251804.8430186,101325,99
100,3229680.4196307,101325,100
101,3207727.2875128,101325,101
102,3185944.0923303,101325,102
103,3164329.49036,101325,103
104,3142882.1484077,101325,104
105,3121600.7437262,101325,105
106,3100483.9639333,101325,106
107,3079530.5069316,101325,107
108,3058739.0808278,101325,108
109,3038108.4038535,101325,109
110,3017637.2042859,101325,110
111,2997324.2203699,101325,111
112,2977168.2002402,101325,112
113,2957167.9018442,101325,113
114,2937322.0928654,101325,114
115,2917629.5506481,101325,115
116,2898089.0621213,101325,116
117,2878699.4237249,101325,117
118,2859459.441335,101325,118
119,2840367.9301905,101325,119
120,2821423.7148207,101325,120
121,2802625.6289722,101325,121
122,2783972.5155375,101325,122
123,2765463.2264842,101325,123
124,2747096.6227837,101325,124
125,2728871.5743413,101325,125
126,2710786.9599269,101325,126
127,2692841.6671061,101325,127
128,2675034.5921712,101325,128
129,2657364.6400741,101325,129
130,2639830.7243582,101325,130
131,2622431.7670921,101325,131
132,2605166.698803,101325,132
133,2588034.4584112,101325,133
134,2571033.9931646,101325,134
135,2554164.2585741,101325,135
136,2537424.2183494,101325,136
137,2520812.8443352,101325,137
138,2504329.116448,101325,138
139,2487972.0226134,101325,139
140,2471740.5587038,101325,140
141,2455633.7284769,101325,141
142,2439650.5435142,101325,142
143,2423790.0231604,101325,143
144,2408051.1944632,101325,144
145,2392433.092113,101325,145
146,2376934.7583842,101325,146
147,2361555.2430762,101325,147
148,2346293.6034544,101325,148
149,2331148.9041931,101325,149
150,2316120.2173176,101325,150
151,2301206.622147,101325,151
152,2286407.205238,101325,152
153,2271721.0603284,101325,153
154,2257147.2882819,101325,154
155,2242684.9970323,101325,155
156,2228333.3015288,101325,156
157,2214091.323682,101325,157
158,2199958.1923095,101325,158
159,2185933.0430824,101325,159
160,2172015.0184726,101325,160
161,2158203.2676995,101325,161
162,2144496.9466783,101325,162
163,2130895.2179676,101325,163
164,2117397.2507183,101325,164
165,2104002.2206223,101325,165
166,2090709.3098622,101325,166
167,2077517.7070606,101325,167
168,2064426.6072305,101325,168
169,2051435.2117257,101325,169
170,2038542.7281917,101325,170
171,2025748.3705172,101325,171
172,2013051.3587857,101325,172
173,2000450.9192273,101325,173
174,1987946.2841714,101325,174
175,1975536.6919994,101325,175
176,1963221.3870982,101325,176
177,1950999.619813,101325,177
178,1938870.6464021,101325,178
179,1926833.7289904,101325,179
180,1914888.1355246,101325,180
181,1903033.1397277,101325,181
182,1891268.0210549,101325,182
183,1879592.0646487,101325,183
184,1868004.5612953,101325,184
185,1856504.8073808,101325,185
186,1845092.1048479,101325,186
187,1833765.7611534,101325,187
188,1822525.0892247,101325,188
189,1811369.4074183,101325,189
190,1800298.0394776,101325,190
191,1789310.3144913,101325,191
192,1778405.5668517,101325,192
193,1767583.1362146,101325,193
194,1756842.3674577,101325,194
195,1746182.6106409,101325,195
196,1735603.2209659,101325,196
197,1725103.5587368,101325,197
198,1714682.9893204,101325,198
199,1704340.8831072,101325,199
200,1694076.6154727,101325,200
201,1683889.5667388,101325,201
202,1673779.1221357,101325,202
203,1663744.6717637,101325,203
204,1653785.6105562,101325,204
205,1643901.3382416,101325,205
206,1634091.2593069,101325,206
207,1624354.7829607,101325,207
208,1614691.3230969,101325,208
209,1605100.2982581,101325,209
210,1595581.1316003,101325,210
211,1586133.2508569,101325,211
212,1576756.0883035,101325,212
213,1567449.0807226,101325,213
214,1558211.6693693,101325,214
215,1549043.2999363,101325,215
216,1539943.4225198,101325,216
217,1530911.4915855,101325,217
218,1521946.9659349,101325,218
219,1513049.3086719,101325,219
220,1504217.9871692,101325,220
221,1495452.4730358,101325,221
222,1486752.2420842,101325,222
223,1478116.7742977,101325,223
224,1469545.5537983,101325,224
225,1461045.7270408,101325,225
226,1452609.01438,101325,226
227,1444234.9135087,101325,227
228,1435922.9261134,101325,228
229,1427672.5578515,101325,229
230,1419483.3183221,101325,230
231,1411354.7210355,101325,231
232,1403286.2833812,101325,232
233,1395277.5265961,101325,233
234,1387327.9757343,101325,234
235,1379437.159637,101325,235
236,1371604.6109028,101325,236
237,1363829.8658587,101325,237
238,1356112.4645313,101325,238
239,1348451.950618,101325,239
240,1340847.871459,101325,240
241,1333299.778009,101325,241
242,1325807.2248093,101325,242
243,1318369.76996,101325,243
244,1310986.9750929,101325,244
245,1303658.4053437,101325,245
246,1296383.6293255,101325,246
247,1289162.2191012,101325,247
248,1281993.7501577,101325,248
249,1274877.8013787,101325,249
250,1267813.9550189,101325,250
251,1260801.7966776,101325,251
252,1253840.9152731,101325,252
253,1246930.9030167,101325,253
254,1240071.3553876,101325,254
255,1233261.8711073,101325,255
256,1226502.0521146,101325,256
257,1219791.5035408,101325,257
258,1213129.8336845,101325,258
259,1206516.6539878,101325,259
260,1199951.5790113,101325,260
261,1193434.2264104,101325,261
262,1186964.2169107,101325,262
263,1180541.1742849,101325,263
264,1174164.7253286,101325,264
265,1167834.4998373,101325,265
266,1161550.1305827,101325,266
267,1155311.2532899,101325,267
268,1149117.5066141,101325,268
269,1142968.5321184,101325,269
270,1136863.9742507,101325,270
271,1130803.4803216,101325,271
272,1124786.7004819,101325,272
273,1118813.2877006,101325,273
274,1112882.8977433,101325,274
275,1106995.1891498,101325,275
276,1101149.8232131,101325,276
277,1095346.4639575,101325,277
278,1089584.7781179,101325,278
279,1083864.435118,101325,279
280,1078185.1070499,101325,280
281,1072546.468653,101325,281
282,1066948.1972935,101325,282
283,1061389.9729436,101325,283
284,1055871.4781619,101325,284
285,1050392.3980723,101325,285
286,1044952.4203446,101325,286
287,1039551.2351743,101325,287
288,1034188.5352631,101325,288
289,1028864.015799,101325,289
290,1023577.3744372,101325,290
291,1018328.3112805,101325,291
292,1013116.5288604,101325,292
293,1007941.7321179,101325,293
294,1002803.6283846,101325,294
295,997701.9273643,101325,295
296,992636.34111388,101325,296
297,987606.5840253,101325,297
298,982612.37280707,101325,298
299,977653.42646609,101325,299
300,972729.46628964,101325,300
301,967840.21582744,101325,301
302,962985.40087389,101325,302
303,958164.7494504,101325,303
304,953377.9917879,101325,304
305,948624.86030942,101325,305
306,943905.08961285,101325,306
307,939218.41645384,101325,307
308,934564.57972875,101325,308
309,929943.32045778,101325,309
310,925354.38176826,101325,310
311,920797.50887797,101325,311
312,916272.4490787,101325,312
313,911778.95171979,101325,313
314,907316.76819194,101325,314
315,902885.65191105,101325,315
316,898485.35830217,101325,316
317,894115.64478364,101325,317
318,889776.27075132,101325,318
319,885466.99756286,101325,319
320,881187.58852222,101325,320
321,876937.80886419,101325,321
322,872717.42573911,101325,322
323,868526.20819764,101325,323
324,864363.92717568,101325,324
325,860230.35547936,101325,325
326,856125.26777023,101325,326
327,852048.44055045,101325,327
328,847999.65214817,101325,328
329,843978.68270299,101325,329
330,839985.3141515,101325,330
331,836019.330213,101325,331
332,832080.51637524,101325,332
333,828168.65988035,101325,333
334,824283.54971079,101325,334
335,820424.97657549,101325,335
336,816592.73289603,101325,336
337,812786.61279293,101325,337
338,809006.41207209,101325,338
339,805251.92821128,101325,339
340,801522.96034673,101325,340
341,797819.30925987,101325,341
342,794140.77736414,101325,342
343,790487.16869184,101325,343
344,786858.2888812,101325,344
345,783253.94516346,101325,345
346,779673.94635005,101325,346
347,776118.10281989,101325,347
348,772586.22650678,101325,348
349,769078.13088691,101325,349
350,765593.63096637,101325,350
351,762132.5432689,101325,351
352,758694.68582358,101325,352
353,755279.87815273,101325,353
354,751887.94125985,101325,354
355,748518.69761761,101325,355
356,745171.97115604,101325,356
357,741847.58725071,101325,357
358,738545.37271103,101325,358
359,735265.15576863,101325,359
360,732006.7660659,101325,360
361,728770.03464447,101325,361
362,725554.79393393,101325,362
363,722360.87774051,101325,363
364,719188.12123596,101325,364
365,716036.36094641,101325,365
366,712905.43474139,101325,366
367,709795.18182289,101325,367
368,706705.4427145,101325,368
369,703636.05925069,101325,369
370,700586.87456611,101325,370
371,697557.73308496,101325,371
372,694548.48051052,101325,372
373,691558.96381469,101325,373
374,688589.03122762,101325,374
375,685638.53222745,101325,375
376,682707.3175301,101325,376
377,679795.23907915,101325,377
378,676902.15003577,101325,378
379,674027.90476878,101325,379
380,671172.35884474,101325,380
381,668335.36901814,101325,381
382,665516.79322164,101325,382
383,662716.49055642,101325,383
384,659934.32128257,101325,384
385,657170.14680958,101325,385
386,654423.82968688,101325,386
387,651695.2335945,101325,387
388,648984.22333369,101325,388
389,646290.66481779,101325,389
390,643614.42506298,101325,390
391,640955.37217922,101325,391
392,638313.37536128,101325,392
393,635688.3048797,101325,393
394,633080.03207197,101325,394
395,630488.42933371,101325,395
396,627913.37010991,101325,396
397,625354.72888626,101325,397
398,622812.38118055,101325,398
399,620286.20353412,101325,399
400,617776.07350337,101325,400
401,615281.86965139,101325,401
402,612803.47153956,101325,402
403,610340.75971932,101325,403
404,607893.61572395,101325,404
405,605461.92206037,101325,405
406,603045.56220112,101325,406
407,600644.42057628,101325,407
408,598258.38256557,101325,408
409,595887.33449038,101325,409
410,593531.16360599,101325,410
411,591189.75809378,101325,411
412,588863.00705349,101325,412
413,586550.80049562,101325,413
414,584253.02933377,101325,414
415,581969.58537717,101325,415
416,579700.36132318,101325,416
417,577445.25074987,101325,417
418,575204.14810867,101325,418
419,572976.94871707,101325,419
420,570763.54875139,101325,420
421,568563.84523958,101325,421
422,566377.73605414,101325,422
423,564205.11990498,101325,423
424,562045.89633246,101325,424
425,559899.96570042,101325,425
426,557767.2291893,101325,426
427,555647.58878923,101325,427
428,553540.94729331,101325,428
429,551447.20829085,101325,429
430,549366.27616067,101325,430
431,547298.05606448,101325,431
432,545242.45394031,101325,432
433,543199.376496,101325,433
434,541168.73120269,101325,434
435,539150.42628843,101325,435
436,537144.37073181,101325,436
437,535150.47425563,101325,437
438,533168.64732066,101325,438
439,531198.80111941,101325,439
440,529240.84756995,101325,440
441,527294.69930983,101325,441
442,525360.26968998,101325,442
443,523437.47276872,101325,443
444,521526.2233058,101325,444
445,519626.43675644,101325,445
446,517738.0292655,101325,446
447,515860.91766164,101325,447
448,513995.01945156,101325,448
449,512140.25281424,101325,449
450,510296.53659531,101325,450
451,508463.79030134,101325,451
452,506641.93409434,101325,452
453,504830.88878615,101325,453
454,503030.57583297,101325,454
455,501240.91732989,101325,455
456,499461.83600552,101325,456
457,497693.25521659,101325,457
458,495935.09894263,101325,458
459,494187.29178072,101325,459
460,492449.75894024,101325,460
461,490722.4262377,101325,461
462,489005.22009155,101325,462
463,487298.06751713,101325,463
464,485600.89612159,101325,464
465,483913.63409883,101325,465
466,482236.21022459,101325,466
467,480568.55385147,101325,467
468,478910.59490404,101325,468
469,477262.263874,101325,469
470,475623.49181535,101325,470
471,473994.21033962,101325,471
472,472374.35161113,101325,472
473,470763.8483423,101325,473
474,469162.633789,101325,474
475,467570.64174593,101325,475
476,465987.80654202,101325,476
477,464414.06303592,101325,477
478,462849.34661148,101325,478
479,461293.59317329,101325,479
480,459746.73914224,101325,480
481,458208.72145116,101325,481
482,456679.47754043,101325,482
