time,Re,inlet-p,outlet-p
0,0,4582919,4582919
1,0,4582919,3714179
2,5.4589594787882,4579294.6667738,1432014
3,14.427258001023,4568514.7239599,590853
4,15.641121213583,4544711.6820632,301273
5,15.617714472696,4506993.4244055,204746
6,15.350111087041,4460437.5349901,142694
7,15.046988346383,4410975.3832742,122009
8,14.732929344138,4362808.7701302,108220
9,14.439713627246,4317715.6125784,108220
10,14.162987233748,4275905.5419877,108220
11,13.905728164736,4236762.9098455,101325
12,13.668251092831,4199735.439358,101325
13,13.440328129039,4164498.7165684,101325
14,13.22302436715,4130674.2876853,101325
15,13.013985920534,4097912.2918356,101325
16,12.811488649485,4065950.3702363,101325
17,12.61433961955,4034607.0005654,101325
18,12.421728990858,4003759.7678188,101325
19,12.233106186852,3973326.5911212,101325
20,12.048092493557,3943252.3091524,101325
21,11.866422454528,3913499.6026371,101325
22,11.687905239509,3884042.9616337,101325
23,11.51239931565,3854864.6997534,101325
24,11.339795854417,3825952.3238652,101325
25,11.170007849679,3797296.7969545,101325
26,11.002962967422,3768891.3889714,101325
27,10.838598836274,3740730.9151054,101325
28,10.676859937417,3712811.2297544,101325
29,10.517695544713,3685128.8895882,101325
30,10.361058356013,3657680.9286746,101325
31,10.206903580402,3630464.7080408,101325
32,10.055188326916,3603477.8147859,101325
33,9.905871193063,3576717.9942569,101325
34,9.7589119861125,3550183.1043325,101325
35,9.6142715327936,3523871.0845281,101325
36,9.4719115480477,3497779.9350535,101325
37,9.3317945433149,3471907.7025748,101325
38,9.19388376137,3446252.4704971,101325
39,9.0581431290458,3420812.3523067,101325
40,8.9245372220478,3395585.4869865,101325
41,8.7930312379811,3370570.0358393,101325
42,8.663590974978,3345764.1802705,101325
43,8.536182814174,3321166.1202245,101325
44,8.4107737048443,3296774.0730701,101325
45,8.287331151401,3272586.2727919,101325
46,8.165823201706,3248600.9693929,101325
47,8.0462184363297,3224816.4284434,101325
48,7.9284859585045,3201230.9307296,101325
49,7.8125953845977,3177842.7719729,101325
50,7.6985168349883,3154650.2625972,101325
51,7.5862209252616,3131651.7275309,101325
52,7.4756787576692,3108845.5060324,101325
53,7.36686191281,3086229.9515329,101325
54,7.2597424415076,3063803.4314913,101325
55,7.1542928568617,3041564.3272579,101325
56,7.0504861264599,3019511.0339449,101325
57,6.9482956647395,2997641.9603008,101325
58,6.8476953254896,2975955.5285897,101325
59,6.7486593944888,2954450.1744727,101325
60,6.6511625822736,2933124.3468917,101325
61,6.5551800170315,2911976.5079554,101325
62,6.4606872376178,2891005.1328269,101325
63,6.3676601866912,2870208.7096121,101325
64,6.2760752039665,2849585.7392504,101325
65,6.1859090195821,2829134.7354058,101325
66,6.0971387475794,2808854.2243592,101325
67,6.009741879492,2788742.7449022,101325
68,5.9236962780435,2768798.8482314,101325
69,5.8389801709514,2749021.0978437,101325
70,5.7555721448345,2729408.0694329,101325
71,5.6734511392241,2709958.350787,101325
72,5.5925964406746,2690670.541686,101325
73,5.5129876769738,2671543.2538016,101325
74,5.4346048114503,2652575.1105965,101325
75,5.3574281373761,2633764.7472258,101325
76,5.2814382724643,2615110.8104383,101325
77,5.2066161534577,2596611.9584789,101325
78,5.1329430308096,2578266.8609924,101325
79,5.0604004634531,2560074.1989273,101325
80,4.9889703136583,2542032.6644408,101325
81,4.9186347419765,2524140.9608048,101325
82,4.849376202268,2506397.8023123,101325
83,4.7811774368147,2488801.914185,101325
84,4.7140214715137,2471352.0324813,101325
85,4.6478916111522,2454046.9040055,101325
86,4.5827714347614,2436885.2862172,101325
87,4.518644791048,2419865.9471422,101325
88,4.4554957939034,2402987.6652834,101325
89,4.393308817987,2386249.2295333,101325
90,4.3320684943847,2369649.4390864,101325
91,4.2717597063392,2353187.1033528,101325
92,4.2123675850526,2336861.0418727,101325
93,4.1538775055594,2320670.084231,101325
94,4.0962750826682,2304613.0699734,101325
95,4.0395461669721,2288688.8485225,101325
96,3.9836768409255,2272896.2790955,101325
97,3.928653414987,2257234.2306212,101325
98,3.8744624238264,2241701.5816593,101325
99,3.8210906225966,2226297.2203193,101325
100,3.7685249832662,2211020.0441805,101325
101,3.7167526910153,2195868.9602125,101325
102,3.6657611406902,2180842.8846968,101325
103,3.6155379333189,2165940.7431484,101325
104,3.5660708726839,2151161.4702384,101325
105,3.517347961953,2136504.0097178,101325
106,3.4693574003666,2121967.3143406,101325
107,3.4220875799802,2107550.3457892,101325
108,3.3755270824616,2093252.0745991,101325
109,3.3296646759419,2079071.4800846,101325
110,3.2844893119191,2065007.550266,101325
111,3.2399901222136,2051059.2817959,101325
112,3.1961564159745,2037225.6798873,101325
113,3.1529776767369,2023505.758242,101325
114,3.1104435595269,2009898.5389792,101325
115,3.0685438880168,1996403.0525653,101325
116,3.0272686517269,1983018.3377442,101325
117,2.9866080032741,1969743.4414673,101325
118,2.9465522556672,1956577.4188258,101325
119,2.9070918796473,1943519.3329818,101325
120,2.868217501072,1930568.2551009,101325
121,2.8299198983444,1917723.2642858,101325
122,2.7921899998847,1904983.447509,101325
123,2.7550188816438,1892347.8995477,101325
124,2.7183977646589,1879815.7229183,101325
125,2.6823180126502,1867386.0278113,101325
126,2.6467711296572,1855057.9320278,101325
127,2.6117487577149,1842830.5609152,101325
128,2.5772426745689,1830703.0473044,101325
129,2.5432447914286,1818674.5314473,101325
130,2.5097471507584,1806744.1609546,101325
131,2.4767419241047,1794911.0907341,101325
132,2.4442214099608,1783174.4829302,101325
133,2.4121780316664,1771533.5068628,101325
134,2.3806043353424,1759987.3389679,101325
135,2.3494929878606,1748535.1627374,101325
136,2.3188367748471,1737176.1686609,101325
137,2.2886285987187,1725909.5541666,101325
138,2.2588614767533,1714734.5235637,101325
139,2.2295285391907,1703650.2879844,101325
140,2.2006230273672,1692656.0653276,101325
141,2.1721382918796,1681751.0802015,101325
142,2.1440677907811,1670934.5638682,101325
143,2.1164050878067,1660205.7541878,101325
144,2.0891438506282,1649563.8955631,101325
145,2.0622778491389,1639008.2388854,101325
146,2.0358009537667,1628538.0414797,101325
147,2.0097071338147,1618152.5670512,101325
148,1.9839904558306,1607851.0856321,101325
149,1.9586450820027,1597632.8735286,101325
150,1.9336652685828,1587497.2132681,101325
151,1.9090453643351,1577443.3935479,101325
152,1.8847798090118,1567470.7091832,101325
153,1.8608631318533,1557578.4610558,101325
154,1.8372899501139,1547765.956064,101325
155,1.8140549676121,1538032.5070714,101325
156,1.7911529733046,1528377.4328581,101325
157,1.7685788398848,1518800.0580702,101325
158,1.7463275224041,1509299.7131715,101325
159,1.7243940569165,1499875.7343945,101325
160,1.7027735591459,1490527.4636924,101325
161,1.6814612231751,1481254.2486909,101325
162,1.6604523201573,1472055.4426411,101325
163,1.6397421970485,1462930.4043722,101325
164,1.6193262753617,1453878.4982452,101325
165,1.5992000499411,1444899.0941061,101325
166,1.5793590877574,1435991.5672407,101325
167,1.5597990267225,1427155.2983282,101325
168,1.5405155745249,1418389.6733969,101325
169,1.5215045074834,1409694.083779,101325
170,1.5027616694207,1401067.9260664,101325
171,1.4842829705553,1392510.6020665,101325
172,1.4660643864124,1384021.5187585,101325
173,1.448101956752,1375600.0882505,101325
174,1.430391784516,1367245.7277359,101325
175,1.4129300347918,1358957.8594516,101325
176,1.395712933794,1350735.910635,101325
177,1.3787367678623,1342579.3134825,101325
178,1.3619978824766,1334487.5051081,101325
179,1.3454926812881,1326459.9275018,101325
180,1.3292176251671,1318496.0274889,101325
181,1.313169231266,1310595.2566895,101325
182,1.297344072098,1302757.0714784,101325
183,1.2817387746317,1294980.9329448,101325
184,1.2663500193999,1287266.3068534,101325
185,1.2511745396241,1279612.6636047,101325
186,1.2362091203524,1272019.4781961,101325
187,1.2214505976132,1264486.2301835,101325
188,1.2068958575816,1257012.4036432,101325
189,1.1925418357606,1249597.4871334,101325
190,1.1783855161753,1242240.973657,101325
191,1.1644239305808,1234942.3606243,101325
192,1.1506541576832,1227701.1498156,101325
193,1.1370733223736,1220516.8473446,101325
194,1.1236785949744,1213388.9636224,101325
195,1.110467190499,1206317.0133206,101325
196,1.0974363679227,1199300.5153362,101325
197,1.0845834294664,1192338.9927554,101325
198,1.0719057198921,1185431.972819,101325
199,1.0594006258101,1178578.9868867,101325
200,1.0470655749972,1171779.5704032,101325
201,1.0348980357272,1165033.2628631,101325
202,1.0228955161111,1158339.6077772,101325
203,1.0110555634501,1151698.1526384,101325
204,0.99937576359712,1145108.4488885,101325
205,0.98785374033099,1138570.0518842,101325
206,0.97648715473957,1132082.5208648,101325
207,0.96527370461375,1125645.4189193,101325
208,0.95421112385132,1119258.3129533,101325
209,0.94329718187074,1112920.7736575,101325
210,0.93252968303459,1106632.3754753,101325
211,0.92190646608259,1100392.6965714,101325
212,0.911425403574,1094201.3187999,101325
213,0.90108440133925,1088057.8276735,101325
214,0.89088139794067,1081961.8123324,101325
215,0.88081436414206,1075912.8655135,101325
216,0.87088130238715,1069910.5835202,101325
217,0.86108024628661,1063954.5661917,101325
218,0.85140926011356,1058044.4168737,101325
219,0.84186643830739,1052179.7423883,101325
220,0.8324499049859,1046360.1530044,101325
221,0.82315781346534,1040585.2624088,101325
222,0.81398834578849,1034854.6876767,101325
223,0.80493971226051,1029168.0492437,101325
224,0.79601015099244,1023524.9708764,101325
225,0.78719792745227,1017925.0796446,101325
226,0.7785013340234,1012368.0058932,101325
227,0.76991868957039,1006853.3832141,101325
228,0.76144833901188,1001380.8484188,101325
229,0.75308865290057,995950.0415108,101325
230,0.7448380270101,990560.60565864,101325
231,0.73669488192877,985212.18716871,101325
232,0.72865766265999,979904.43545859,101325
233,0.72072483822923,974637.00303054,101325
234,0.7128949012975,969409.54544511,101325
235,0.70516636778126,964221.72129509,101325
236,0.69753777647847,959073.19217959,101325
237,0.69000768870088,953963.62267832,101325
238,0.68257468791239,948892.68032613,101325
239,0.67523737937331,943860.03558773,101325
240,0.66799438979049,938865.36183263,101325
241,0.66084436697323,933908.33531021,101325
242,0.65378597949488,928988.6351251,101325
243,0.6468179163599,924105.94321269,101325
244,0.63993888667653,919259.94431485,101325
245,0.63314761933471,914450.32595582,101325
246,0.62644286268945,909676.77841837,101325
247,0.61982338424924,904938.99472008,101325
248,0.6132879703697,900236.67058984,101325
249,0.60683542595218,895569.50444451,101325
250,0.60046457414742,890937.19736584,101325
251,0.59417425606394,886339.45307748,101325
252,0.58796333048131,881775.97792226,101325
253,0.58183067356809,877246.4808396,101325
254,0.57577517860442,872750.67334312,101325
255,0.56979575570915,868288.26949845,101325
256,0.56389133157142,863858.98590116,101325
257,0.55806137263838,859462.9373859,101325
258,0.55230430142893,855099.44395518,101325
259,0.54661909304794,850768.22973872,101325
260,0.54100473813793,846469.02130858,101325
261,0.53546024262886,842201.54765809,101325
262,0.52998462749521,837965.54018109,101325
263,0.52457692851703,833760.73265128,101325
264,0.51923619604497,829586.86120164,101325
265,0.51396149476899,825443.66430396,101325
266,0.50875190349093,821330.88274855,101325
267,0.50360651490073,817248.25962401,101325
268,0.49852443535631,813195.54029732,101325
269,0.4935047846671,809172.47239393,101325
270,0.48854669588105,805178.80577815,101325
271,0.48364931507521,801214.29253364,101325
272,0.47881180114961,797278.68694402,101325
273,0.47403332562465,793371.74547376,101325
274,0.46931307244166,789493.22674912,101325
275,0.46465023776682,785642.89153928,101325
276,0.46004402979822,781820.5027376,101325
277,0.45549366857606,778025.82534313,101325
278,0.45099838579602,774258.62644212,101325
279,0.44655742462555,770518.67518982,101325
280,0.44217003952325,766805.74279232,101325
281,0.43783549606117,763119.60248861,101325
282,0.43355307074998,759460.02953278,101325
283,0.42932205086695,755826.80117631,101325
284,0.42514173428685,752219.69665057,101325
285,0.42101142931546,748638.49714944,101325
286,0.4169304545259,745082.98581204,101325
287,0.41289813859751,741552.94770565,101325
288,0.40891382015744,738048.16980877,101325
289,0.40497684762477,734568.44099426,101325
290,0.40108657905719,731113.55201266,101325
291,0.39724238200009,727683.29547569,101325
292,0.39344363333821,724277.4658398,101325
293,0.3896897191496,720895.8593899,101325
294,0.38598003456202,717538.27422322,101325
295,0.38231398361159,714204.51023333,101325
296,0.37869097910382,710894.36909422,101325
297,0.37511044247681,707607.65424458,101325
298,0.37157180366669,704344.17087219,101325
299,0.3680745009753,701103.72589843,101325
300,0.36461798093989,697886.12796291,101325
301,0.36120169820501,694691.18740827,101325
302,0.35782511539649,691518.71626503,101325
303,0.35448770299736,688368.52823665,101325
304,0.35118893922588,685240.43868467,101325
305,0.34792830991548,682134.26461397,101325
306,0.3447053083966,679049.82465815,101325
307,0.34151943538058,675986.93906507,101325
308,0.33837019884524,672945.42968247,101325
309,0.33525711392243,669925.11994373,101325
310,0.33217970278736,666925.83485371,101325
311,0.32913749454971,663947.4009748,101325
312,0.32613002514643,660989.64641298,101325
313,0.32315683723642,658052.40080405,101325
314,0.32021748009673,655135.49530001,101325
315,0.31731150952056,652238.76255543,101325
316,0.31443848771679,649362.03671412,101325
317,0.31159798321125,646505.15339573,101325
318,0.30878957074947,643667.94968257,101325
319,0.30601283120103,640850.26410653,101325
320,0.30326735146543,638051.93663607,101325
321,0.30055272437952,635272.80866334,101325
322,0.29786854862635,632512.72299146,101325
323,0.29521442864552,629771.52382177,101325
324,0.29258997454495,627049.05674137,101325
325,0.28999480201407,624345.16871061,101325
326,0.28742853223837,621659.70805079,101325
327,0.28489079181541,618992.52443189,101325
328,0.28238121267201,616343.46886045,101325
