time,Re,inlet-p,outlet-p
0,0,5617133,5617133
1,0,5617133,2866123.76
2,1.1060465861885,5545378.6095054,1121749.48
3,1.3625365632389,5386603.6545789,473642.04
4,1.3031927887985,5172923.8452436,280588.76
5,1.1949923217325,4939233.1779048,184062.12
6,1.0885155086334,4708087.4821668,135798.8
7,0.99184902662368,4490855.0235254,115114.52
8,0.90656236052148,4291685.1836037,108219.76
9,0.83196979210811,4110678.5353234,108219.76
10,0.76660665908119,3946010.2151461,108219.76
11,0.7090676904085,3795313.3483302,101325
12,0.65826205281439,3656539.5964043,101325
13,0.61270879624219,3528017.3488919,101325
14,0.5717413718374,3408357.4691974,101325
15,0.53469070131366,3296418.428471,101325
16,0.50101619634602,3191276.2298881,101325
17,0.47028232531089,3092188.4439375,101325
18,0.442134912934,2998555.3319699,101325
19,0.41628162814458,2909885.2042824,101325
20,0.3924772296328,2825767.034541,101325
21,0.37051282929046,2745850.2065726,101325
22,0.35020997760369,2669836.9095933,101325
23,0.33140936736373,2597450.5978831,101325
24,0.31397272186085,2528450.7658381,101325
25,0.29777757636001,2462620.1454487,101325
26,0.28271488993307,2399760.9206196,101325
27,0.26868715918338,2339691.9011868,101325
28,0.25560689497169,2282246.3586739,101325
29,0.24339536822927,2227270.3243715,101325
30,0.2319815603185,2174621.2160159,101325
31,0.22130127270684,2124166.7028559,101325
32,0.21129636353204,2075783.7476773,101325
33,0.20191408725543,2029357.7834564,101325
34,0.19310651949808,1984781.995035,101325
35,0.18483005326997,1941956.6847606,101325
36,0.17704495573618,1900788.7068188,101325
37,0.16971497680356,1861190.958947,101325
38,0.16280700240759,1823081.9229595,101325
39,0.15629074659716,1786385.2474388,101325
40,0.15013847746413,1751029.3673232,101325
41,0.1443247727189,1716947.1561142,101325
42,0.13882630132286,1684075.6071649,101325
43,0.13362162808882,1652355.54107,101325
44,0.12869103857642,1621731.3366016,101325
45,0.12401638195868,1592150.6829772,101325
46,0.11958092983181,1563564.351517,101325
47,0.11536924919328,1535925.9849703,101325
48,0.11136708802967,1509191.9029775,101325
49,0.10756127214393,1483320.9222922,101325
50,0.10393961201316,1458274.1905256,101325
51,0.10049081860994,1434015.0322907,101325
52,0.0972044272432,1410508.8067323,101325
53,0.094070728582064,1387722.7755172,101325
54,0.091080706121133,1365625.9804451,101325
55,0.088225979427997,1344189.1299106,101325
56,0.085498752587074,1323384.4935177,101325
57,0.082891767317971,1303185.8042043,101325
58,0.080398260303288,1283568.1672904,101325
59,0.078011924310858,1264507.9759145,101325
60,0.07572687273973,1245982.8323634,101325
61,0.073537607258395,1227971.4748463,101325
62,0.071438988238547,1210453.7092978,101325
63,0.069426207718557,1193410.3458299,101325
64,0.067494764658203,1176823.1394836,101325
65,0.065640442270646,1160674.734959,101325
66,0.063859287239312,1144948.6150295,101325
67,0.062147590646703,1129629.0523673,101325
68,0.06050187045941,1114701.0645314,101325
69,0.058918855429008,1100150.371888,101325
70,0.0573954702823,1085963.3582502,101325
71,0.055928822086653,1072127.0340437,101325
72,0.054516187687237,1058629.0018162,101325
73,0.053155002122834,1045457.4239261,101325
74,0.05184284793575,1032600.9922561,101325
75,0.050577445299326,1020048.8998107,101325
76,0.049356642893685,1007790.8140667,101325
77,0.048178409466771,995816.85195541,101325
78,0.047040826023546,984117.55636553,101325
79,0.045942078591394,972683.87406269,101325
80,0.044880451514492,961507.13493019,101325
81,0.043854321234152,950579.03244233,101325
82,0.042862150515944,939891.6052881,101325
83,0.041902483087902,929437.22006933,101325
84,0.040973938657208,919208.55500243,101325
85,0.040075208275612,909198.58455861,101325
86,0.039205050026379,899400.5649814,101325
87,0.038362285007924,889808.02062536,101325
88,0.037545793591354,880414.73106334,101325
89,0.036754511931097,871214.71891358,101325
90,0.035987428709514,862202.23834136,101325
91,0.035243582097976,853371.76419289,101325
92,0.034522056918344,844717.98172235,101325
93,0.033822609553452,836243.41920628,101325
94,0.033143745940697,827935.21218935,101325
95,0.03248467771521,819788.6336488,101325
96,0.031844653409892,811799.13048799,101325
97,0.031222956422704,803962.3157623,101325
98,0.030618903116826,796273.96131043,101325
99,0.030031841039382,788729.9907673,101325
100,0.029461147250193,781326.47293561,101325
101,0.028906226752888,774059.61549535,101325
102,0.028366511021361,766925.75903169,101325
103,0.02784145661507,759921.3713628,101325
104,0.02733054387719,753043.04215082,101325
105,0.026833275710056,746287.47777968,101325
106,0.026349176422757,739651.49648501,101325
107,0.025877790646118,733132.02372172,101325
108,0.025418682310644,726726.08775651,101325
109,0.024971433683332,720430.81547238,101325
110,0.024535644459542,714243.42837392,101325
111,0.024110930906394,708161.23878225,101325
112,0.02369692505442,702181.64620935,101325
113,0.023293273934397,696302.13390221,101325
114,0.022899638856543,690520.26554766,101325
115,0.02251569472943,684833.68212941,101325
116,0.02214112941615,679240.09892923,101325
117,0.021775643125442,673737.30266477,101325
118,0.021418947835665,668323.14875689,101325
119,0.021070766749594,662995.55871977,101325
120,0.020730833778217,657752.51766759,101325
121,0.020398893051769,652592.07193176,101325
122,0.020074698456412,647512.32678308,101325
123,0.019758013195027,642511.44425363,101325
124,0.019448609370719,637587.64105332,101325
125,0.019146267591708,632739.18657644,101325
126,0.018850776596369,627964.40099372,101325
127,0.01856193289727,623261.65342579,101325
128,0.018279540443115,618629.36019391,101325
129,0.018003410297592,614065.9831444,101325
130,0.01773336033415,609570.02804312,101325
131,0.017469214945849,605140.04303663,101325
132,0.017210804769406,600774.61717689,101325
133,0.016957966422694,596472.37900658,101325
134,0.016710542254913,592231.99520196,101325
135,0.016468380108786,588052.16927082,101325
136,0.01623133309409,583931.64030285,101325
137,0.015999259371943,579869.18176997,101325
138,0.015772021949246,575863.60037448,101325
139,0.015549488482764,571913.73494262,101325
140,0.015331531092315,568018.45536168,101325
141,0.015118026182605,564176.66155866,101325
142,0.014908854273254,560387.28251847,101325
143,0.014703899836575,556649.27534013,101325
144,0.014503051142734,552961.62432909,101325
145,0.014306200111881,549323.3401242,101325
146,0.014113242172924,545733.45885782,101325
147,0.01392407612859,542191.04134745,101325
148,0.013738604026472,538695.17231781,101325
149,0.013556731035751,535244.95965179,101325
150,0.013378365329312,531839.53366917,101325
151,0.013203417971001,528478.04643188,101325
152,0.013031802807749,525159.67107474,101325
153,0.012863436366346,521883.60116053,101325
154,0.012698237754615,518649.0500584,101325
155,0.012536128566805,515455.25034467,101325
156,0.012377032792971,512301.45322506,101325
157,0.012220876732165,509186.9279775,101325
158,0.012067588909256,506110.96141464,101325
159,0.011917099995207,503072.85736529,101325
160,0.011769342730643,500071.93617402,101325
161,0.011624251852562,497107.53421815,101325
162,0.011481764024035,494179.00344152,101325
163,0.011341817766772,491285.71090423,101325
164,0.011204353396401,488427.03834786,101325
165,0.011069312960356,485602.38177552,101325
166,0.010936640178243,482811.15104606,101325
167,0.010806280384577,480052.76948198,101325
168,0.010678180473784,477326.67349056,101325
169,0.01055228884736,474632.31219747,101325
170,0.010428555363105,471969.14709272,101325
171,0.010306931286324,469336.6516881,101325
172,0.010187369242917,466734.31118602,101325
173,0.010069823174277,464161.62215912,101325
174,0.0099542482939171,461618.09224019,101325
175,0.009840601045739,459103.2398223,101325
