time,Re,inlet-p,outlet-p,time
0,0,7002980,7002980,0
0.1,0,7002980,6658242,0.1
0.2,28.125739088298,6995898.8545487,6313504,0.2
0.3,53.418691017596,6972568.5497002,5968766,0.3
0.4,75.423732534101,6927445.2552132,5624028,0.4
0.5,94.075416510286,6859316.6007127,5279290,0.5
0.6,109.55815002544,6769720.3515221,4934552,0.6
0.7,122.16729025213,6661424.2570919,4589814,0.7
0.8,132.22390361378,6537524.0224509,4245076,0.8
0.9,140.03285684582,6401016.4383103,3900338,0.9
1,145.86584127218,6254634.7156673,3555600,1
1.1,149.95682211623,6100808.4206459,3337725.6,1.1
1.2,147.47276870637,5942302.3420413,3119851.2,1.2
1.3,144.58833536678,5781948.1479314,2901976.8,1.3
1.4,141.47016038115,5622041.4868799,2684102.4,1.4
1.5,138.21923037906,5464139.0009007,2466228,1.5
1.6,134.88541359764,5309187.8544441,2248353.6,1.6
1.7,131.48672738965,5157736.4084974,2030479.2,1.7
1.8,128.02372709084,5010104.3267128,1812604.8,1.8
1.9,124.4883866752,4866492.8483433,1594730.4,1.9
2,120.86920987756,4727050.3540159,1376856,2
2.1,117.15428992352,4591911.4069284,1301013.6,2.1
2.2,111.1664262498,4461216.6814186,1225171.2,2.2
2.3,105.56853659122,4335152.306097,1149328.8,2.3
2.4,100.34486745338,4213916.3971516,1073486.4,2.4
2.5,95.480031620332,4097645.695027,997644,2.5
2.6,90.954412138786,3986374.8624252,921801.6,2.6
2.7,86.744706873681,3880040.4036028,845959.2,2.7
2.8,82.825705611441,3778507.2791667,770116.8,2.8
2.9,79.172020310319,3681598.8224659,694274.4,2.9
3,75.759367452439,3589121.4286572,618432,3
3.1,72.565418637877,3500882.5663589,587405.6,3.1
3.2,69.238147705527,3416682.593285,556379.2,3.2
3.3,66.144059851696,3336308.820665,525352.8,3.3
3.4,63.261970882769,3259547.4252937,494326.4,3.4
3.5,60.57370284808,3186196.3100598,463300,3.5
3.6,58.063077302629,3116070.1403699,432273.6,3.6
3.7,55.715639568577,3049000.0222062,401247.2,3.7
3.8,53.518444249656,2984831.8541902,370220.8,3.8
3.9,51.459898134248,2923425.1261673,339194.4,3.9
4,49.529652912547,2864652.4228858,308168,4
4.1,47.718534308606,2808399.4500824,297825.8,4.1
4.2,45.928386462986,2754557.1806733,287483.6,4.2
4.3,44.24851995625,2703009.9842707,277141.4,4.3
4.4,42.670188674772,2653631.8822726,266799.2,4.4
4.5,41.18538533122,2606292.2003709,256457,4.5
4.6,39.786657791848,2560863.3113297,246114.8,4.6
4.7,38.467220505068,2517226.0184362,235772.6,4.7
4.8,37.220982629988,2475271.9714002,225430.4,4.8
4.9,36.042512850694,2434904.0590418,215088.2,4.9
5,34.926975975261,2396035.7680159,204746,5
5.1,33.870063191771,2358590.1467662,198540.8,5.1
5.2,32.854073016161,2322497.7567751,192335.6,5.2
5.3,31.889610216529,2287693.4298497,186130.4,5.3
5.4,30.973297911095,2254114.081596,179925.2,5.4
5.5,30.10201701561,2221698.3138269,173720,5.5
5.6,29.27285187188,2190387.2660169,167514.8,5.6
5.7,28.483107069335,2160125.6259031,161309.6,5.7
5.8,27.730313489338,2130862.248421,155104.4,5.8
5.9,27.012224424001,2102550.4538927,148899.2,5.9
6,26.326799337879,2075147.8539976,142694,6
6.1,25.672186853409,2048616.1172097,139936.1,6.1
6.2,25.03727558346,2022920.1451697,137178.2,6.2
6.3,24.429784697534,1998026.2071898,134420.3,6.3
6.4,23.848196457874,1973900.2488223,131662.4,6.4
6.5,23.291059310613,1950507.2619615,128904.5,6.5
6.6,22.756953101763,1927811.8186494,126146.6,6.6
6.7,22.244515667019,1905779.0674372,123388.7,6.7
6.8,21.752464745074,1884375.641093,120630.8,6.8
6.9,21.279609869142,1863570.2568283,117872.9,6.9
7,20.824859692486,1843334.1897017,115115,7
7.1,20.387206907083,1823640.7759791,114425.5,7.1
7.2,19.960741910528,1804465.7183448,113736,7.2
7.3,19.549440093805,1785786.1143668,113046.5,7.3
7.4,19.152511771285,1767579.4889426,112357,7.4
7.5,18.769204258597,1749823.2463584,111667.5,7.5
7.6,18.398776974707,1732494.7246373,110978,7.6
7.7,18.040513290549,1715571.6125861,110288.5,7.7
7.8,17.693732226386,1699032.4310963,109599,7.8
7.9,17.357796225023,1682856.9079797,108909.5,7.9
8,17.032114740326,1667026.1989722,108220,8
8.1,16.716144532715,1651522.9724556,108220,8.1
8.2,16.407853377633,1636331.36573,108220,8.2
8.3,16.108270150986,1621436.7832042,108220,8.3
8.4,15.816976643558,1606825.5963742,108220,8.4
8.5,15.533585582901,1592484.9009608,108220,8.5
8.6,15.257729105913,1578402.4171308,108220,8.6
8.7,14.989059272836,1564566.5036759,108220,8.7
8.8,14.72724925855,1550966.2162376,108220,8.8
8.9,14.47199403377,1537591.3580495,108220,8.9
9,14.223010279211,1524432.5016105,108220,9
9.1,13.980035621547,1511480.9795695,107530.5,9.1
9.2,13.744263160452,1498728.8652366,106841,9.2
9.3,13.514061351274,1486168.9954553,106151.5,9.3
9.4,13.289224957419,1473795.0449494,105462,9.4
9.5,13.069562412274,1461601.5751069,104772.5,9.5
9.6,12.854903756862,1449583.9917784,104083,9.6
9.7,12.645097261227,1437738.4192452,103393.5,9.7
9.8,12.44000540158,1426061.5370772,102704,9.8
9.9,12.239501287241,1414550.4219619,102014.5,9.9
10,12.043465839011,1403202.41658,101325,10
10.1,11.851785726794,1392015.0312076,101325,10.1
10.2,11.663048742704,1380986.8622092,101325,10.2
10.3,11.478430322747,1370114.4986809,101325,10.3
10.4,11.297824481807,1359395.438988,101325,10.4
10.5,11.121131858869,1348826.9577941,101325,10.5
10.6,10.948249342878,1338406.0590688,101325,10.6
10.7,10.779070786786,1328129.503667,101325,10.7
10.8,10.613488746412,1317993.8840465,101325,10.8
10.9,10.451396247626,1307995.712804,101325,10.9
11,10.292688248769,1298131.502933,101325,11
11.1,10.137262698331,1288397.8303013,101325,11.1
11.2,9.9850212098796,1278791.3770217,101325,11.2
11.3,9.8358694263516,1269308.9582633,101325,11.3
11.4,9.6897171546748,1259947.5362309,101325,11.4
11.5,9.5464783421589,1250704.2249102,101325,11.5
11.6,9.4060709508585,1241576.2885593,101325,11.6
11.7,9.2684167712384,1232561.1362145,101325,11.7
11.8,9.1334412041049,1223656.3138563,101325,11.8
11.9,9.0010730303042,1214859.4953761,101325,11.9
12,8.8712441807922,1206168.4731116,101325,12
12.1,8.7438895148376,1197581.1484467,101325,12.1
