time,Re,inlet-p,outlet-p,time
0,0,4293339,4320918,0
0.1,0,4293339,4113385.7,0.1
0.2,13.241795668365,4295812.3972291,3905853.4,0.2
0.3,27.796219828269,4298268.3320368,3698321.1,0.3
0.4,41.123718712473,4294169.8473039,3490788.8,0.4
0.5,52.907374187813,4279208.4631898,3283256.5,0.5
0.6,63.070036410449,4252213.7894857,3075724.2,0.6
0.7,71.678066328624,4213860.9822428,2868191.9,0.7
0.8,78.859199093666,4165605.442571,2660659.6,0.8
0.9,84.75795951303,4109126.0197981,2453127.3,0.9
1,89.515202641671,4046081.313201,2245595,1
1.1,93.26000394776,3978019.3739249,2110457.7,1.1
1.2,93.40309424165,3905439.5573036,1975320.4,1.2
1.3,93.059236285872,3828661.2607303,1840183.1,1.3
1.4,92.361035508463,3749596.401809,1705045.8,1.4
1.5,91.433586850628,3670091.2173935,1569908.5,1.5
1.6,90.356680674844,3591400.1398944,1434771.2,1.6
1.7,89.17583896537,3514312.9626927,1299633.9,1.7
1.8,87.916979122676,3439348.4785816,1164496.6,1.8
1.9,86.596168515436,3366887.4913286,1029359.3,1.9
2,85.225384838428,3297252.6300907,894222,2
2.1,83.816064833388,3230757.5102859,843890.3,2.1
2.2,81.05686327863,3167644.6916756,793558.6,2.2
2.3,78.431629630955,3106076.1625339,743226.9,2.3
2.4,75.893617738025,3045555.0995768,692895.2,2.4
2.5,73.456894176733,2986482.5191811,642563.5,2.5
2.6,71.141745353245,2929368.1470551,592231.8,2.6
2.7,68.960790063337,2874588.1295915,541900.1,2.7
2.8,66.919082549233,2822378.7128925,491568.4,2.8
2.9,65.016846758229,2772880.2461735,441236.7,2.9
3,63.25185734961,2726178.2384555,390905,3
3.1,61.621079661471,2682333.02846,375736.5,3.1
3.2,59.83248411106,2641637.6416248,360568,3.2
3.3,58.183184531776,2603264.07406,345399.5,3.3
3.4,56.632244651665,2566541.8386372,330231,3.4
3.5,55.163840916293,2531209.6266228,315062.5,3.5
