time,inlet-p,outlet-p
0,6989190,7002980
1,6630663,3555600
2,5665396,1376856
3,4727709,618432
4,3948601,308168
5,3300494,204746
6,2797176,142694
7,2349017,115115
8,1969805,108220
9,1652646,108220
10,1390645,101325
11,1183802,101325
12,970065,101325
13,839064,101325
14,701169,101325
15,611537,101325
16,549484,101325
17,466747,101325
18,404694,101325
19,356431,101325
20,315063,101325
21,280589,101325
22,253010,101325
23,225431,101325
24,204746,101325
25,190957,101325
26,177167,101325
27,163378,101325
28,156483,101325
29,149588,101325
30,142694,101325
31,135799,101325
32,135799,101325
33,128904,101325
34,122009,101325
35,122009,101325
36,122009,101325
37,115115,101325
38,115115,101325
39,115115,101325
40,115115,101325
41,108220,101325
42,108220,101325
